"PLZ","Ort","Bundesland"
"1000","Wien","Wien"
"1004","Wien","Wien"
"1006","Wien","Wien"
"1010","Wien","Wien"
"1011","Wien Postfach","Wien"
"1015","Wien","Wien"
"1016","Wien","Wien"
"1017","Wien-Parlament","Wien"
"1020","Wien","Wien"
"1021","Wien Postfach","Wien"
"1024","Wien","Wien"
"1025","Wien","Wien"
"1029","Wien","Wien"
"1030","Wien","Wien"
"1031","Wien Postfach","Wien"
"1032","Wien","Wien"
"1034","Wien","Wien"
"1035","Wien","Wien"
"1037","Wien","Wien"
"1038","Wien","Wien"
"1039","Wien","Wien"
"1040","Wien","Wien"
"1041","Wien Postfach","Wien"
"1042","Wien","Wien"
"1043","Wien","Wien"
"1045","Wien","Wien"
"1050","Wien","Wien"
"1051","Wien Postfach","Wien"
"1052","Wien","Wien"
"1053","Wien","Wien"
"1060","Wien","Wien"
"1061","Wien Postfach","Wien"
"1063","Wien-VÖPh","Wien"
"1064","Wien","Wien"
"1065","Wien","Wien"
"1070","Wien","Wien"
"1071","Wien Postfach","Wien"
"1072","Wien","Wien"
"1075","Wien","Wien"
"1080","Wien","Wien"
"1081","Wien Postfach","Wien"
"1082","Wien","Wien"
"1090","Wien","Wien"
"1091","Wien Postfach","Wien"
"1092","Wien","Wien"
"1095","Wien","Wien"
"1097","Wien","Wien"
"1100","Wien","Wien"
"1101","Wien Postfach","Wien"
"1103","Wien","Wien"
"1104","Wien","Wien"
"1105","Wien","Wien"
"1106","Wien","Wien"
"1107","Wien","Wien"
"1108","Wien","Wien"
"1109","Wien","Wien"
"1110","Wien","Wien"
"1111","Wien Postfach","Wien"
"1114","Wien","Wien"
"1115","Wien","Wien"
"1120","Wien","Wien"
"1121","Wien Postfach","Wien"
"1122","Wien","Wien"
"1124","Wien","Wien"
"1125","Wien","Wien"
"1127","Wien","Wien"
"1128","Wien","Wien"
"1130","Wien","Wien"
"1131","Wien Postfach","Wien"
"1132","Wien","Wien"
"1133","Wien","Wien"
"1134","Wien","Wien"
