"Firmenname ","Branche","Branche","PLZ","Stadt","Land","E-Mail","Tel","Fax","E-Mail2","Tel2","Fax2"
"Oesterreichische Nationalbank","Zentralbank","Otto-Wagner-Platz 3","1090","Wien",,,,,,,
"Oesterreichische Kontrollbank Aktiengesellschaft","Finanzinstitut","Am Hof 4","1010","Wien",,,,,,,
"Oesterreichische Entwicklungsbank AG","Finanzinstitut","Strauchgasse 1-3","1010","Wien",,,,,,,
"UniCredit Bank Austria AG","Finanzinstitut","Schottengasse 6-8","1010","Wien",,,,,,,
"BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft","Finanzinstitut","Georg-Coch-Platz 2","1018","Wien",,,,,,,
"easybank AG","Finanzinstitut","Quellenstr. 51-55","1100","Wien",,,,,,,
"Oberbank AG","Finanzinstitut","Untere Donaulände 28","4020","Linz/Donau",,,,,,,
"Bank für Tirol und Vorarlberg Aktiengesellschaft","Finanzinstitut","Stadtforum 1","6020","Innsbruck",,,,,,,
"BKS Bank AG","Finanzinstitut","St.Veiter Ring 43","9020","Klagenfurt",,,,,,,
"BNP Paribas SA Niederlassung Österreich","Finanzinstitut","Vordere Zollamtsstraße 13","1030","Wien",,,,,,,
"paybox Bank AG","Finanzinstitut","Lassallestraße 9","1020","Wien",,,,,,,
"Bank für Ärzte und Freie Berufe Aktiengesellschaft","Finanzinstitut","Schottengasse 10","1010","Wien",,,,,,,
"Société Générale Zweigniederlassung Wien","Finanzinstitut","Prinz Eugen-Straße 8-10/5/11","1040","Wien",,,,,,,
"KA Finanz AG","Finanzinstitut","Türkenstr. 9","1090","Wien",,,,,,,
"UniCredit Bank AG, Zweigniederlassung Wien","Finanzinstitut","Julius Tandler-Platz 3","1090","Wien",,,,,,,
"Generali Bank AG","Finanzinstitut","Landskrongasse 1-3","1010","Wien",,,,,,,
"Volkskreditbank AG","Finanzinstitut","Rudigierstr. 5-7","4020","Linz",,,,,,,
"Deutsche Bank Aktiengesellschaft Filiale Wien","Finanzinstitut","Fleischmarkt 1","1010","Wien",,,,,,,
"Brüll Kallmus Bank AG","Finanzinstitut","Burgring 16","8010","Graz",,,,,,,
"Bank Gutmann Aktiengesellschaft","Finanzinstitut","Schwarzenbergplatz 16","1010","Wien",,,,,,,
"Kathrein Privatbank Aktiengesellschaft","Finanzinstitut","Wipplingerstraße 25","1010","Wien",,,,,,,
"PARTNER BANK AKTIENGESELLSCHAFT","Finanzinstitut","Goethestr. 1a","4020","Linz",,,,,,,
"Bankhaus Schelhammer & Schattera Aktiengesellschaft","Finanzinstitut","Goldschmiedg. 3","1010","Wien",,,,,,,
"Schoellerbank Aktiengesellschaft","Finanzinstitut","Renngasse 3","1010","Wien",,,,,,,
"ING-DiBa Austria Niederlassung der ING-DiBa AG","Finanzinstitut","Galaxy Tower, Praterstr. 31","1020","Wien",,,,,,,
"Bank Winter & Co. AG","Finanzinstitut","Singerstraße 10","1010","Wien",,,,,,,
"MEINL BANK Aktiengesellschaft","Finanzinstitut","Bauernmarkt 2","1010","Wien",,,,,,,
"Hellobank BNP Paribas Austria AG","Finanzinstitut","Elisabethstr. 22","5020","Salzburg",,,,,,,
"Joh. Berenberg, Gossler & Co. KG Zweigniederlassung Wien","Finanzinstitut","Schottenring 12","1010","Wien",,,,,,,
"Svenska Handelsbanken AB Niederlassung Wien","Finanzinstitut","Bankgasse 8","1010","Wien",,,,,,,
"Allianz Investmentbank Aktiengesellschaft","Finanzinstitut","Hietzinger Kai 101-105","1130","Wien",,,,,,,
"European American Investment Bank Aktiengesellschaft","Finanzinstitut","Wallnerstraße 4","1010","Wien",,,,,,,
"Autobank Aktiengesellschaft","Finanzinstitut","Ungargasse 64, Stiege 3, Top 403","1030","Wien",,,,,,,
"Bankhaus Denzel Aktiengesellschaft","Finanzinstitut","Erdbergstraße 189-193","1030","Wien",,,,,,,
