"Firmenname ","Branche","Adresse","PLZ","Stadt","Land","E-Mail","Tel","Fax","E-Mail2","Tel2","Fax2"
"Bundesministerium für Arbeit, Soziales und Konsumentenschutz","Bundesministerium","Stubenring 1",1010,"Wien","Österreich","post@sozialministerium.at","+431711000","+431711006502",,,
"Bundesministerium für Bildung","Bundesministerium","Minoritenplatz 5",1010,"Wien","Österreich","ministerium@bmb.gv.at","+431531200","+431531203099",,,
"Bundesministerium für Europa, Integration und Äußeres","Bundesministerium","Minoritenplatz 8",1010,"Wien","Österreich","post@bmeia.gv.at","+435011500","+435011590",,,
"Bundesministerium für Familien und Jugend","Bundesministerium","Untere Donaustraße 13 - 15",1020,"Wien","Österreich","office@bmfj.gv.at","+431711000",,,,
"Bundesministerium für Finanzen","Bundesministerium","Johannesgasse 5",1010,"Wien","Österreich","post@bmf.gv.at","+431514330",,,,
"Bundesministerium für Gesundheit und Frauen","Bundesministerium","Radetzkystraße 2",1030,"Wien","Österreich","buergerservice@bmgf.gv.at","+431711000","+43171344041000",,,
"Bundesministerium für Inneres","Bundesministerium","Herrengasse 7",1010,"Wien","Österreich","post@bmi.gv.at","+431531260","+43153126108613",,,
"Bundesministerium für Justiz","Bundesministerium","Museumstraße 7",1070,"Wien","Österreich",,"+4315263686",,,,
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","Bundesministerium","Stubenring 1",1010,"Wien","Österreich","service@bmlfuw.gv.at","+431711000","+43151316799900",,,
"Bundesministerium für Landesverteidigung und Sport","Bundesministerium","Roßauer Lände 1",1090,"Wien","Österreich","buergerservice@bmlvs.gv.at","+43502010",,,,
"Bundesministerium für Verkehr, Innovation und Technologie","Bundesministerium","Radetzkystraße 2",1030,"Wien","Österreich","servicebuero@bmvit.gv.at","+43171162650",,,,
"Bundesministerium für Wissenschaft, Forschung und Wirtschaft","Bundesministerium","Stubenring 1",1010,"Wien","Österreich","service@bmwfw.gv.at","+431711000","+4317108573",,,
"Allgemeine Unfallversicherungsanstalt","Sozialversicherungsträger","Adalbert-Stifter-Straße 65",1200,"Wien","Österreich","HAL@auva.at ","+435939320000","+435939320606",,,
"Betriebskrankenkasse der Wiener Verkehrsbetriebe","Sozialversicherungsträger","Erdbergstraße 202/E7a",1030,"Wien","Österreich","office@bkkwvb.at ","+431790923999","+4316028562",,,
"Betriebskrankenkasse Kapfenberg","Sozialversicherungsträger","Friedrich-Böhler-Straße 11",8605,"Kapfenberg","Österreich","direktion@bkkka.sozvers.at ","+4338622036448","+4338622037730",,,
"Betriebskrankenkasse Mondi Business Paper","Sozialversicherungsträger","Theresienthalstraße 50",3363,"Ulmerfeld-Hausmening","Österreich","service@bkkmondi.at ","+4374755002163","+437475500911",,,
"Betriebskrankenkasse Voestalpine Bahnsysteme","Sozialversicherungsträger","Kerpelystraße 201",8700,"Leoben","Österreich","bkkbahnsysteme@bkkva.sozvers.at ","+4350304253138","+4350304652127",,,
"Betriebskrankenkasse Zeltweg","Sozialversicherungsträger","Alpinestraße 1",8740,"Zeltweg","Österreich","bkk.zeltweg@bkkzw.sozvers.at ","+435030428171","+435030468179",,,
"Burgenländische Gebietskrankenkasse","Sozialversicherungsträger","Siegfried Marcus-Straße 5",7000,"Eisenstadt","Österreich","bgkk@bgkk.at","+4326826080","+4326826081041",,,
