"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Homepage","Tel","Fax","Datenquelle","Pruefung"
1,"BMSGPK","Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz","Bundesbehörde","Bundesministerium","Stubenring 1","1010","post@sozialministerium.at","https://www.sozialministerium.at/","+431711000","'+4317158258","Impressum","16.10.2021"
2,"BMBWF","Bundesministerium für Bildung, Wissenschaft und Forschung","Bundesbehörde","Bundesministerium","Minoritenplatz 5","1010","ministerium@bmbwf.gv.at","https://www.bmbwf.gv.at/","'+431531200","'+431531203099","Impressum","16.10.2021"
3,"BMEIA","Bundesministerium für europäische und internationale Angelegenheiten","Bundesbehörde","Bundesministerium","Minoritenplatz 8","1010","post@bmeia.gv.at","https://www.bmeia.gv.at/","'+43501150",,"Impressum","16.10.2021"
4,"BMA","Bundesministerium für Arbeit","Bundesbehörde","Bundesministerium","Taborstraße 1-3","1020","office@bma.gv.at","https://www.bma.gv.at/","+431711000",,"Impressum","16.10.2021"
5,"BMF","Bundesministerium für Finanzen","Bundesbehörde","Bundesministerium","Johannesgasse 5","1010","datenschutz@bmf.gv.at","https://www.bmf.gv.at/","+431514330","+431514335907201","Impressum + Datenschutzerklärung + Anfrage","16.10.2021"
6,"BMI","Bundesministerium für Inneres","Bundesbehörde","Bundesministerium","Herrengasse 7","1010","post@bmi.gv.at","https://www.bmi.gv.at/","+431531260","+43153126108613","Impressum","16.10.2021"
7,"BMJ","Bundesministerium für Justiz","Bundesbehörde","Bundesministerium","Museumstraße 7","1070","III1_bk@bmj.gv.at","https://www.bmj.gv.at/","+4315263686","+431521522727","Impressum + Kontakt + Anfrage","16.10.2021"
8,"BMLRT","Bundesministerium für Landwirtschaft, Regionen und Tourismus","Bundesbehörde","Bundesministerium","Stubenring 1","1010","office@bmlrt.gv.at","https://www.bmlrt.gv.at/","+431711000","'+43171100606503","Impressum","16.10.2021"
9,"BMLV","Bundesministerium für Landesverteidigung","Bundesbehörde","Bundesministerium","Roßauer Lände 1","1090","posteingang@bmlv.gv.at","https://www.bundesheer.at/","+43502010",,"Impressum + usp.gv.at","16.10.2021"
10,"BMK","Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie","Bundesbehörde","Bundesministerium","Radetzkystraße 2","1030","servicebuero@bmk.gv.at","https://www.bmk.gv.at/","+43171162650",,"Impressum","16.10.2021"
11,"BMKOES","Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport","Bundesbehörde","Bundesministerium","Radetzkystraße 2","1030","buergerservice@bmkoes.gv.at","https://www.bmkoes.gv.at/","'+431716060",,"Kontakt","16.10.2021"
12,"BMDW","Bundesministerium für Digitalisierung und Wirtschaftsstandort","Bundesbehörde","Bundesministerium","Stubenring 1","1010","service@bmdw.gv.at","https://www.bmdw.gv.at/","'+431711000","+4317108573","Impressum + Bürgerservice","16.10.2021"
13,"Sozialministeriumservice","Bundesamt für Soziales und Behindertenwesen – Sozialministeriumservice","Bundesbehörde","Bundesbehörde","Babenbergerstraße 5",1010,,"https://sozialministeriumservice.at/","+4359988","'+43599882030","Impressum","16.10.2021"
