"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","Land","E-Mail","Tel","Fax","Pruefung"
41,"Forstfachschule Traunkirchen","Forstfachschule Traunkirchen","Bundesbehörde","Bundesschule","Negelegasse 3",3340,"Österreich","sekretariat@forstfachschule.at","+437442 / 5 22 23","+437442 / 5 22 23 – 16",
42,"Forstwirtschaftliche Bundeslehr- und Versuchsforste",,"Bundesbehörde","Bundesschule","Stubenring 1",1010,"Österreich",,,,
44,"Hochschule für Agrar- und Umweltpädagogik",,"Bundesbehörde","Bundesschule","Angermayergasse 1",1130,"Österreich","info@agrarumweltpaedagogik.ac.at","+43/1/877 22 66-0","+43/1/877 23 61",
47,"Höhere Bundeslehranstalt für Forstwirtschaft Bruck a.d. Mur",,"Bundesbehörde","Bundesschule","Dr.-Theodor-Körner-Straße 44",8600,"Österreich","willkommen@forstschule.at","+43 3862 51770","+43 3862 51770 98",
48,"Höhere Bundeslehranstalt für Land- und Ernährungswirtschaft",,"Bundesbehörde","Bundesschule","Elmbergweg 65",4040,"Österreich","direktion@elmberg.at","+43 732 24 56 03 0","+43 732 24 56 03 60",
49,"Höhere Bundeslehranstalt für Landwirtschaft Ursprung",,"Bundesbehörde","Bundesschule","Ursprungstrasse 4",5161,"Österreich","schule@ursprung.at","+43 662/480301-0","+43 662/480301-15",
51,"Höhere landwirtschaftliche Bundeslehranstalt St. Florian",,"Bundesbehörde","Bundesschule","Fernbach 37",4490,"Österreich","sekretariat@hlbla-florian.at","+43 7224 8917-0","+43 7224 8917-15",
35,"HBLFA Tirol","Höhere Bundeslehr- und Forschungsanstalt für Landwirtschaft und Ernährung sowie Lebensmittel- und Biotechnologie Tirol","Bundesbehörde","Bundesschule","Rotholz 50",6200,"Österreich","schule@hblfa-tirol.at","+43524462262","+43524462262930","20.08.2020"
43,"Höhere Bundeslehr- und Forschungsanstalt für Gartenbau Wien-Schönbrunn",,"Bundesbehörde","Bundesanstalt","Grünbergstraße 24",1130,"Österreich","office@gartenbau.at","+41 1 813 59 50","+41 1 813 59 50-99",
45,"Höhere Bundeslehr- und Forschungsanstalt für Landwirtschaft Raumberg-Gumpenstein",,"Bundesbehörde","Bundesanstalt","Raumberg 38",8952,"Österreich","office@raumberg-gumpenstein.at","+43 3682 22451-0","+43 3682 22451-210",
46,"Höhere Bundeslehr- und Forschungsanstalt für Landwirtschaft, Landtechnik und Lebensmitteltechnologie Francisco-Josephinum",,"Bundesbehörde","Bundesanstalt","Schloss Weinzierl 1",3250,"Österreich","direktion@josephinum.at","+43 7416 52437 0","+43 7416 52437 49",
50,"Höhere Bundeslehranstalt und Bundesamt für Wein- und Obstbau Klosterneuburg",,"Bundesbehörde","Bundesanstalt","Wiener Strasse 74",3400,"Österreich",,"+43 2243/37910-0","+43224326705",
60,"Höhere Bundes-Lehr- und Versuchsanstalt für Textilindustrie und EDV",,"Bundesbehörde","Bundesanstalt","Spengergasse 20",1050,"Österreich","direktion@spengergasse.at","+43 1 546 15 - 0 ",,
61,"Technologisches Gewerbemuseum",,"Bundesbehörde","Bundesanstalt","Wexstraße 19-23",1200,"Österreich","info@tgm.ac.at","+43 1 33 126-0","+431 33 126-204",
62,"Höhere Graphische Bundes- Lehr- und Versuchsanstalt",,"Bundesbehörde","Bundesanstalt","Leyserstraße 6 ",1140,"Österreich",,"+43 1 982 39 14 - 0","+43 1 982 39 14 – 111",
63,"Höhere Bundeslehr- und Versuchsanstalt für chemische Industrie",,"Bundesbehörde","Bundesanstalt","Rosensteingasse 79",1170,"Österreich",,"+43 1 486 14 80 - 129","+43 1 489 03 59",
64,"Bundesinstitut für Sozialpädagogik",,"Bundesbehörde","Bundesanstalt","Elisabethstraße 14-16",2500,"Österreich","bisop@bisopbaden.ac.at","+43225248282","+43225248812",
