"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Homepage","Tel","Fax","Datenquelle","Pruefung"
1,"ÖGB","Österreichischer Gewerkschaftsbund","Interessensvertretung","Gewerkschaft","Johann-Böhm-Platz 1",1020,"oegb@oegb.at","https://www.oegb.at/","‘+431534440",,"Impressum","13.01.2021"
2,"GPA","Gewerkschaft GPA","Interessensvertretung","Gewerkschaft","Alfred-Dallinger-Platz 1",1030,"service@gpa.at","https://www.gpa.at/","'+4350301301",,"Impressum","13.01.2021"
3,"GÖD","Gewerkschaft Öffentlicher Dienst","Interessensvertretung","Gewerkschaft","Teinfaltstraße 7",1010,"goed@goed.at","https://www.goed.at/","'+431534540",,"Impressum","13.01.2021"
4,"younion","younion _ Die Daseinsgewerkschaft","Interessensvertretung","Gewerkschaft","Maria-Theresien-Straße 11",1090,"info@younion.at","https://www.younion.at/","'+431313168300","+431313169983600","Impressum","13.01.2021"
5,"GBH","Gewerkschaft Bau-Holz","Interessensvertretung","Gewerkschaft","Johann-Böhm-Platz 1",1020,,"http://www.bau-holz.at/","‘+4315344459",,"Impressum","13.01.2021"
6,"vida","Gewerkschaft vida","Interessensvertretung","Gewerkschaft","Johann-Böhm-Platz 1",1020,"info@vida.at","https://www.vida.at/","‘+4315344479",,"Impressum","13.01.2021"
7,"GPF","Gewerkschaft der Post- und Fernmeldebediensteten","Interessensvertretung","Gewerkschaft","Johann-Böhm-Platz 1",1020,"gpf@gpf.at","https://www.gpf.at/","‘+4315344449440",,"Kontakt","13.01.2021"
8,"PROGE","Produktionsgewerkschaft","Interessensvertretung","Gewerkschaft","Johann-Böhm-Platz 1",1020,"proge@proge.at","https://www.proge.at/","‘+4315344469","+43153444103300","Kontakt","13.01.2021"
9,"Universitas Austria","Berufsverband für Dolmetschen und Übersetzen","Interessensvertretung","Berufsverband","Gymnasiumstraße 50",1190,"info@universitas.org","https://www.universitas.org/","+4313686060",,"Impressum","13.01.2021"
10,"BÖP","Berufsverband österreichischer Psychologinnen und Psychologen","Interessensvertretung","Berufsverband","Dietrichgasse 25",1030,"boep@boep.or.at","https://www.boep.or.at/","+43140726710","+431407267130","Impressum","13.01.2021"
11,"Jagd Österreich","Dachverband Jagd Österreich","Interessensvertretung","Berufsverband","Garnisongasse 7/19",1090,"office@jagd-oesterreich.at","https://www.jagd-oesterreich.at/","+4313618898",,"Impressum","13.01.2021"
12,"Fachverband der Österreichischen Standesbeamtinnen und Standesbeamten","Fachverband der Österreichischen Standesbeamtinnen und Standesbeamten","Interessensvertretung","Berufsverband","Habsburgergasse 5",1010,"info@standesbeamte.at","https://www.standesbeamte.at/","+4315332068",,"Impressum","13.01.2021"
13,"HANDELSVERBAND","Verband österreichischer Handelsunternehmen","Interessensvertretung","Berufsverband","Alser Straße 45",1080,"office@handelsverband.at","https://www.handelsverband.at/","+4314062236","+4314086481","Impressum","13.01.2021"
14,"Gerichts-SV","Hauptverband der allgemein beeideten und gerichtlich zertifizierten Sachverständigen Österreichs","Interessensvertretung","Berufsverband","Doblhoffgasse 3/5",1010,"hauptverband@gerichts-sv.org","https://www.gerichts-sv.at/","+4314054546","+4314061156","Impressum","13.01.2021"
15,"HVB","Hauptverband des Österreichischen Buchhandels","Interessensvertretung","Berufsverband","Grünangergasse 4",1010,"office@hvb.at","http://www.buecher.at/","+4315121535","+4315128482","Impressum","13.01.2021"
16,"Juristenverband","Österreichischer Juristenverein-Konzipientenverband","Interessensvertretung","Berufsverband","Weihburggasse 4/1.Stiege, 2.Stock, Top 9",1010,"office@juristenverband.at","https://juristenverband.at/","+4315122600",,"Impressum","13.01.2021"
17,"ÖJK","Österreichische Juristenkommission","Interessensvertretung","Berufsverband","Marc-Aurel-Straße 6A",1010,"office@juristenkommission.at","http://www.juristenkommission.at/","+4315352141","+4315352143","Kontakt","13.01.2021"
18,"Österreichischer Apothekerverband ","Österreichischer Apothekerverband","Interessensvertretung","Berufsverband","Spitalgasse 31",1090,"service@apothekerverband.at","https://www.apothekerverband.at/","+43140414300","+4314086280","Impressum","13.01.2021"
