"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Homepage","Tel","Fax","Datenquelle","Pruefung"
1,"AUVA","Allgemeine Unfallversicherungsanstalt","Gesundheit","Sozialversicherungsträger","Adalbert-Stifter-Straße 65","1200","kontakt@auva.at","https://www.auva.at","+435939320000","+435939320606","Startseite","17.01.2021"
2,"PVA","Pensionsversicherungsanstalt","Gesundheit","Sozialversicherungsträger","Friedrich-Hillegeist-Straße 1","1021","pva@pv.at","https://www.pv.at/","+4350303","+435030328850","Startseite","17.01.2021"
3,"VA des österreichischen Notariates","Versorgungsanstalt des österreichischen Notariates","Gesundheit","Sozialversicherungsträger","Florianigasse 2, Postfach 15","1080","office@van.co.at","https://www.van.co.at/","+43140513810","+431405138120","Startseite","17.01.2021"
4,"BUAK","Bauarbeiter- Urlaubs- und Abfertigungskasse","Gesundheit","Sozialversicherungsträger","Kliebergasse 1A",1050,"kommunikation@buak.at","https://www.buak.at/","+43579579",,"Impressum","17.01.2021"
5,"ELGA","ELGA GmbH","Gesundheit","Dienstleister","Treustraße 35-43/ Stg. 4/ 1. Stock",1200,"office@elga.gv.at","https://www.elga.gv.at/","+4312127050",,"Impressum","17.01.2021"
6,"Dachverband der Sozialversicherungsträger","Dachverband der Sozialversicherungsträger","Gesundheit","Dienstleister","Kundmanngasse 21","1030","posteingang.allgemein@sozialversicherung.at","https://www.sozialversicherung.at/","+431711320",,"Kontakt","17.01.2021"
7,"IT-Services der Sozialversicherung","IT-Services der Sozialversicherung GmbH","Gesundheit","Dienstleister","Johann-Böhm-Platz 1",1020,"office@itsv.at","https://www.itsv.at/","'+43501248445600","'+43501248445680","Impressum","17.01.2021"
8,"SVC","Sozialversicherungs-Chipkarten Betriebs- und Errichtungsgesellschaft m.b.H.","Gesundheit","Dienstleister","Ernst-Melchior-Gasse 22",1020,"info@svc.co.at","https://www.svc.co.at","'+43501247140","'+43501247143776","Impressum","17.01.2021"
9,"SVD","SVD Büromanagement GmbH","Gesundheit","Dienstleister","Dresdner Straße 45",1200,"office@svdgmbh.at","https://www.svdgmbh.at/","'+4317981414","'+4317981414200","Impressum","17.01.2021"
10,"BVAEB","Versicherungsanstalt öffentlich Bediensteter, Eisenbahnen und Bergbau","Gesundheit","Sozialversicherungsträger","Josefstätter Straße 80",1080,"postoffice@bvaeb.at","https://www.bvaeb.at","+4350405","+435040522900","Impressum","17.01.2021"
11,"ÖGK","Österreichische Gesundheitskasse","Gesundheit","Sozialversicherungsträger","Haidingergasse 1",1030,"office@oegk.at","https://www.gesundheitskasse.at","+43507660",,"Impressum","17.01.2021"
12,"SVS","Sozialversicherungsanstalt der Selbstständigen","Gesundheit","Sozialversicherungsträger","Wiedner Hauptstraße 84-86",1051,"dsb@svs.at","https://www.svs.at","+4350808808",,"Impressum + Datenschutzerklärung","17.01.2021"
13,"Allianz Vorsorgekasse","Allianz Vorsorgekasse AG","Gesundheit","Vorsorgekasse","Hietzinger Kai 101-105",1130,"servicekasse@allianz.at","https://www.allianzvk.at/","+435900980181","+435900940128","Impressum","17.01.2021"
14,"APK Vorsorgekasse","APK Vorsorgekasse AG","Gesundheit","Vorsorgekasse","Thomas-Klestil-Platz 13",1030,"office@apk-vk.at","https://www.apk-vk.at/","+435027550","+43502755609","Impressum","17.01.2021"
15,"BONUS Vorsorgekasse","BONUS Vorsorgekasse AG","Gesundheit","Vorsorgekasse","Traungasse 14-16",1030,"kundenservice@bonusvorsorge.at","https://www.bonusvorsorge.at","+4319949974","+43199499741999","Impressum","17.01.2021"
16,"BUAK Betriebliche Vorsorgekasse","BUAK Betriebliche Vorsorgekasse GesmbH","Gesundheit","Vorsorgekasse","Kliebergasse 1a",1050,"buak-bvk@buak.at","https://www.buak-bvk.at/","+435795793000","+4357957993099","Impressum","17.01.2021"
17,"fair-finance Vorsorgekasse","fair-finance Vorsorgekasse AG","Gesundheit","Vorsorgekasse","Alser Straße 21",1080,"office@fair-finance.at","https://www.fair-finance.at","+43140571710","+431405717171","Impressum","17.01.2021"
18,"Niederösterreichische Vorsorgekasse","Niederösterreichische Vorsorgekasse AG","Gesundheit","Vorsorgekasse","Neue Herrengasse 10",3100,"office@noevk.at","https://www.noevk.at","+432742905557100","+432742905557120","Impressum","17.01.2021"
19,"Valida Vorsorgemanagement","Valida Holding AG","Gesundheit","Vorsorgekasse","Mooslackengasse 12",1190,"office@valida.at","https://www.valida.at","+431316480","+431316486010","Impressum","17.01.2021"
20,"VBV – Vorsorgekasse","VBV – Vorsorgekasse AG","Gesundheit","Vorsorgekasse","Obere Donaustraße 49-53",1020,"info@vorsorgekasse.at","https://www.vorsorgekasse.at/","+431217018500","+4312170178260","Impressum","17.01.2021"
21,"Institut für Gesundheitsförderung und Prävention","Institut für Gesundheitsförderung und Prävention GmbH","Gesundheit","Dienstleister","Haideggerweg 40",8044,"office@ifgp.at","https://www.ifgp.at","+4350235037900","+4350235077900","Impressum","17.01.2021"
