"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Homepage","Tel","Fax","Datenquelle","Pruefung"
1,"ASFINAG","Autobahnen- und Schnellstraßen Finanzierungs-Aktiengesellschaft","Infrastruktur","Dienstleister","Rotenturmstraße 5-9, Postfach 983",1011,"office@asfinag.at","https://www.asfinag.at/","+435010810000","+435010810020","Impressum","17.01.2021"
2,"BIG","Bundesimmobiliengesellschaft m.b.H.","Infrastruktur","Dienstleister","Trabrennstraße 2c",1020,"office@big.at","https://www.big.at/","+43502440","+43502442211","Impressum","17.01.2021"
3,"Österreichische Bundesforste","Österreichische Bundesforste AG","Infrastruktur","Dienstleister","Pummergasse 10-12",3002,"bundesforste@bundesforste.at","https://www.bundesforste.at/","+4322316000",,"Impressum","17.01.2021"
4,"GIS","GIS Gebühren Info Service GmbH","Infrastruktur","Dienstleister","Operngasse 20B",1040,"kundenservice@gis.at","https://www.gis.at/","+4350200","+4350200300","Impressum","17.01.2021"
5,"Nationalfonds der Republik Österreich für Opfer des Nationalsozialismus","Nationalfonds der Republik Österreich für Opfer des Nationalsozialismus","Sozialleistungen","Dienstleister","Parlament, Dr.-Karl-Renner-Ring 3",1017,"office@nationalfonds.org","https://www.nationalfonds.org/","+4314081263","+4314081263500","Kontakt","17.01.2021"
6,"Bundesbeschaffung","Bundesbeschaffung GmbH","Infrastruktur","Dienstleister","Lassallestraße 9b",1020,"office@bbg.gv.at","https://www.bbg.gv.at/","+431245700","+4312457099","Impressum","17.01.2021"
7,"BRZ","Bundesrechenzentrum GmbH","Infrastruktur","Dienstleister","Hintere Zollamtsstraße 4",1030,"kommunikation@brz.gv.at","https://www.brz.gv.at/","+431711230",,"Impressum","17.01.2021"
8,"Bundesstelle für Sektenfragen","Bundesstelle für Sektenfragen","Infrastruktur","Dienstleister","Wollzeile 12/2/19",1010,"bundesstelle@sektenfragen.at","https://www.bundesstelle-sektenfragen.at/","+4315130460","+431513046030","Startseite","17.01.2021"
9,"ÖNB","Österreichische Nationalbibliothek","Bildung","Museum / Theater / Bibliothek","Josefsplatz 1, Postfach 25",1015,"onb@onb.ac.at","https://www.onb.ac.at/","+43153410","+43153410280","Impressum","17.01.2021"
10,"Volksoper","Volksoper Wien GmbH","Kultur","Museum / Theater / Bibliothek","Währinger Straße 78",1090,"office@volksoper.at","https://www.volksoper.at/","+431514440","+431514443215","Impressum","17.01.2021"
11,"Bundestheater Holding","Bundestheater-Holding GmbH","Kultur","Museum / Theater / Bibliothek","Goethegasse 1",1010,"office@bundestheater.at","https://www.bundestheater.at/","+431514440",,"Impressum","17.01.2021"
12,"Burgtheater","Burgtheater GmbH","Kultur","Museum / Theater / Bibliothek","Universitätsring 2",1010,"info@burgtheater.at","https://www.burgtheater.at/","+431514444545",,"Impressum","17.01.2021"
13,"Kunsthistorisches Museum","Kunsthistorisches Museum","Bildung","Museum / Theater / Bibliothek","Burgring 5",1010,"info@khm.at","https://www.khm.at/","+431525240","+431525244099","Impressum","17.01.2021"
14,"Naturhistorisches Museum","Naturhistorisches Museum Wien","Bildung","Museum / Theater / Bibliothek","Burgring 7",1010,"info@nhm-wien.ac.at","https://nhm-wien.ac.at/","+431521770","+43152177578","Impressum","17.01.2021"
15,"Technisches Museum","Technisches Museum Wien mit Österreichischer Mediathek","Bildung","Museum / Theater / Bibliothek","Mariahilfer Straße 212",1140,"museumsbox@tmw.at","https://www.technischesmuseum.at/","+431899980",,"Impressum","17.01.2021"
16,"Agentur für Passagier- und Fahrgastrechte","Österreichische Gesellschaft für Schienenmarktregulierung mit beschränkter Haftung","Interessensvertretung","Dienstleister","Linke Wienzeile 4/1/6",1060,"office@schienencontrol.gv.at","https://www.schienencontrol.gv.at/","+4315050707",,"Impressum","17.01.2021"
17,"Austria Wirtschaftsservice","Austria Wirtschaftsservice Gesellschaft m.b.H.","Wirtschaftsförderung","Dienstleister","Walcherstraße 11A",1020,"post@aws.at","https://www.aws.at/","+431501750","+43150175900","Impressum","17.01.2021"
18,"Staatsoper","Wiener Staatsoper GmbH","Kultur","Museum / Theater / Bibliothek","Opernring 2",1010,"information@wiener-staatsoper.at","https://www.wiener-staatsoper.at/","+431514442250","+431514442259","Impressum","17.01.2021"
19,"ORF","Österreichischer Rundfunk","Infrastruktur","Öffentliches Unternehmen","Würzburggasse 30",1136,"kundendienst@orf.at","https://orf.at/","+431878780","+4318787830","Impressum","17.01.2021"
20,"Spanische Hofreitschule – Lipizzanergestüt Piber","Spanische Hofreitschule – Lipizzanergestüt Piber","Bundesbehörde","Öffentliches Unternehmen","Michaelerplatz 1",1010,"office@srs.at","https://www.srs.at/","+4315339031",,"Impressum","17.01.2021"
21,"AGES","Österreichische Agentur für Gesundheit und Ernährungssicherheit GmbH","Bundesbehörde","Öffentliches Unternehmen","Spargelfeldstrasse 191",1220,"management@ages.at","https://www.ages.at/","+43505550","+435055522019","Impressum","17.01.2021"
22,"Landwirtschaftliche Bundesversuchswirtschaften","Landwirtschaftliche Bundesversuchswirtschaften GmbH","Bundesbehörde","Öffentliches Unternehmen","Rottenhauserstraße 32",3250,"office@bvw.at",,"+437416522410","+4374165224115",,"21.08.2020"
23,"LFRZ","Land-, forst- und wasserwirtschaftliches Rechenzentrum GmbH","Infrastruktur","Dienstleister","Hintere Zollamtsstraße 4",1030,"office@lfrz.gv.at","https://www.lfrz.gv.at/","+431331760",,"Impressum","17.01.2021"
24,"WSR","Wirtschafts- und Sozialwissenschaftliches Rechenzentrum","Infrastruktur","Dienstleister","Arsenal Objekt 20",1030,"info@wsr.ac.at","https://www.wsr.ac.at/","+4317981122","+431798112250","Impressum","17.01.2021"
25,"ÖBAG","Österreichische Beteiligungs AG","Infrastruktur","Dienstleister","Kolingasse 14-16",1090,"kontakt@oebag.gv.at","https://www.oebag.gv.at/","+431711140",,"Impressum","17.01.2021"
26,"OeSD","Österreichische Staatsdruckerei GmbH","Infrastruktur","Dienstleister","Tenschertstraße 7",1239,"office@staatsdruckerei.at","https://www.staatsdruckerei.at/","+431206660","+43120666100","Impressum","17.01.2021"
