"Name","Branche","Adresse","PLZ","Stadt","Land","E-Mail","Tel","Fax"
"Bundesministerium für Arbeit, Soziales und Konsumentenschutz","Bundesministerium","Stubenring 1","1010","Wien","Österreich","post@sozialministerium.at","+431711000","+431711006502"
"Bundesministerium für Bildung","Bundesministerium","Minoritenplatz 5","1010","Wien","Österreich","ministerium@bmb.gv.at","+431531200","+431531203099"
"Bundesministerium für Europa, Integration und Äußeres","Bundesministerium","Minoritenplatz 8","1010","Wien","Österreich","post@bmeia.gv.at","+435011500","+435011590"
"Bundesministerium für Familien und Jugend","Bundesministerium","Untere Donaustraße 13 - 15","1020","Wien","Österreich","office@bmfj.gv.at","+431711000",
"Bundesministerium für Finanzen","Bundesministerium","Johannesgasse 5","1010","Wien","Österreich","post@bmf.gv.at","+431514330",
"Bundesministerium für Gesundheit und Frauen","Bundesministerium","Radetzkystraße 2","1030","Wien","Österreich","buergerservice@bmgf.gv.at","+431711000","+43171344041000"
"Bundesministerium für Inneres","Bundesministerium","Herrengasse 7","1010","Wien","Österreich","post@bmi.gv.at","+431531260","+43153126108613"
"Bundesministerium für Justiz","Bundesministerium","Museumstraße 7","1070","Wien","Österreich",,"+4315263686",
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","Bundesministerium","Stubenring 1","1010","Wien","Österreich","service@bmlfuw.gv.at","+431711000","+43151316799900"
"Bundesministerium für Landesverteidigung und Sport","Bundesministerium","Roßauer Lände 1","1090","Wien","Österreich","buergerservice@bmlvs.gv.at","+43502010",
"Bundesministerium für Verkehr, Innovation und Technologie","Bundesministerium","Radetzkystraße 2","1030","Wien","Österreich","servicebuero@bmvit.gv.at","+43171162650",
"Bundesministerium für Wissenschaft, Forschung und Wirtschaft","Bundesministerium","Stubenring 1","1010","Wien","Österreich","service@bmwfw.gv.at","+431711000","+4317108573"
