"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Homepage","Tel","Fax","Datenquelle","Pruefung"
1,"Bildungsdirektion Burgenland","Bildungsdirektion für Burgenland","Bildung","Behörde","Kernausteig 3",7000,"office@bildung-bgld.gv.at","https://www.bildung-bgld.gv.at/","+432682710","+4326827101009","Impressum","17.01.2021"
2,"Landespolizeidirektion Burgenland","Landespolizeidirektion Burgenland","Infrastruktur","Polizei","Neusiedler Straße 84",7000,"LPD-B@polizei.gv.at","https://www.polizei.gv.at/bgld/start.aspx","+4359133/10/0","+4359133/10/1009","Kontakt","17.01.2021"
3,"Wirtschaftskammer Burgenland","Wirtschaftskammer Burgenland","Interessensvertretung","Kammer","Robert-Graf-Platz 1",7000,"wkbgld@wkbgld.at","https://www.wko.at/service/dienststelle.html?orgid=14637","+435909072000","+435909072015","Startseite","17.01.2021"
4,"Rechtsanwaltskammer Burgenland","Rechtsanwaltskammer Burgenland","Interessensvertretung","Kammer","Marktstraße 3",7000,"rak.bgld@aon.at","https://www.rechtsanwaelte.at/kammer/die-rechtsanwaltskammern/burgenland/","+43720211990","+43720211991","Startseite","17.01.2021"
5,"Landeszahnärztekammer Burgenland","Landeszahnärztekammer Burgenland","Interessensvertretung","Kammer","Schloss Jormannsdorf 1",7431,"office@bgld.zahnaerztekammer.at","https://bgld.zahnaerztekammer.at/","+43505117000","+43505117002","Impressum","17.01.2021"
6,"Notariatskammer für Wien, Niederösterreich und Burgenland","Notariatskammer für Wien, Niederösterreich und Burgenland ","Interessensvertretung","Kammer","Landesgerichtsstraße 20",1010,"kammer-wnb@notar.or.at","https://www.notar.at/die-notare/kammern/","+43140245090","'+4314024509119","Startseite","17.01.2021"
7,"Ärztekammer Burgenland","Ärztekammer Burgenland","Interessensvertretung","Kammer","Johann Permayerstraße 3",7000,"office@aekbgld.at","https://www.aekbgld.at/","+43268262521","+4326826252190","Impressum","17.01.2021"
8,"Apothekerkammer Burgenland","Apothekerkammer Burgenland","Interessensvertretung","Kammer","Permayerstraße 3",7000,"burgenland@apothekerkammer.at","https://www.apotheker.or.at/internet/oeak/B/BNewsPresse.nsf/WebTeaser/NewsTeaser/","+43268261645","+43268266115","Kontakt","17.01.2021"
9,"Kammer der Steuerberater und Wirtschaftsprüfer Burgenland","Kammer der Steuerberater und Wirtschaftsprüfer Burgenland","Interessensvertretung","Kammer","Schönbrunnerstraße 222-228/1/6/2",1120,"office@ksw.or.at","https://www.ksw.or.at/desktopdefault.aspx/tabid-140","+431811730","+43181173100","Kontakt","17.01.2021"
10,"Kammer der ZiviltechnikerInnen für Wien, Niederösterreich und Burgenland","Kammer der ZiviltechnikerInnen für Wien, Niederösterreich und Burgenland","Interessensvertretung","Kammer","Karlsgasse 9",1040,"kammer@arching.at","https://wien.arching.at/","+4315051781","+4315051005","Impressum","17.01.2021"
11,"Arbeiterkammer Burgenland","Kammer für Arbeiter und Angestellte für das Burgenland","Interessensvertretung","Kammer","Wiener Straße 7",7000,"akbgld@akbgld.at","https://bgld.arbeiterkammer.at/","+432682740",,"Impressum","17.01.2021"
12,"FH Burgenland","Fachhochschule Burgenland GmbH","Bildung","Fachhochschule","Campus 1",7000,"office@fh-burgenland.at","https://www.fh-burgenland.at/","'+4357705","'+43577051199","Impressum","17.01.2021"
13,"PH Burgenland","Stiftung private Pädagogische Hochschule Burgenland","Bildung","Pädagogische Hochschule","Thomas-Alva-Edison-Straße 1",7000,"office@ph-burgenland.at","https://www.ph-burgenland.at/","+43268224817",,"Impressum","17.01.2021"
14,"FPÖ","Freiheitliche Partei Österreich – Landesgruppe Burgenland","Interessensvertretung","Partei","Ruster Straße 70b",7000,"lgst.bgld@fpoe.at","https://www.fpoe-bgld.at/","+43268262846",,"Impressum","17.01.2021"
15,"SPÖ","Sozialdemokratische Partei – Landesorganisation Burgenland","Interessensvertretung","Partei","Johann Permayer Straße 2",7000,"burgenland@spoe.at","https://burgenland.spoe.at/","+4326827750","+432682775210","Kontakt","17.01.2021"
16,"ÖVP","ÖVP – Landesparteileitung Burgenland","Interessensvertretung","Partei","Ing. Julius-Raab-Straße 7",7000,"office@oevp-burgenland.at","https://vpbgld.at/","+432682799","+432682799623","Impressum","17.01.2021"
17,"Die Grünen","Die Grünen - Die Grüne Alternative Burgenland","Interessensvertretung","Partei","Pfarrgasse 30",7000,"bgld@gruene.at","https://burgenland.gruene.at/","+436648317510",,"Impressum","17.01.2021"
