"Name","Branche","Adresse","PLZ","Stadt","Land","E-Mail","Tel","Fax"
"AKV Europa","Auskunfteien","Schleifmühlgasse 2",1040,"Wien","Österreich","office@akveuropa.at","+435041000","+435041001522"
"KSV1870 Information GmbH","Auskunfteien","Wagenseilgasse 7",1120,"Wien","Österreich","ksv@ksv.at","+43501870","+43501870991000"
"Creditreform Wirtschaftsauskunftei Kubicki KG","Auskunfteien","Muthgasse 36-40/Bauteil 4",1190,"Wien","Österreich","creditreform@wien.creditreform.at","+43121862200","+43121862204"
"Aktiv Inkasso e.U.","Auskunfteien","Walfischgasse 6/1",1010,"Wien","Österreich","erfolg@aktivinkasso.at","+436606300000",
"Auskunftei Lux staatl konz cand jur K.G. WRBA","Auskunfteien","Grünentorgasse 29/13",1090,"Wien","Österreich","wrba@a1.net","+4313151939",
"AVS Betriebsorganisation GesmbH","Auskunfteien","Hebbelplatz 5",1100,"Wien","Österreich","austria@avs-europe.com","+4316045858","+4316039595"
"Bisnode Austria GmbH","Auskunfteien","Geiselbergstraße 17-19/3/5",1110,"Wien","Österreich","office.at@bisnode.com","+431588610","+431588613333"
"Bisnode D&B Austria GmbH","Auskunfteien","Geiselbergstraße 17-19/3/5",1110,"Wien","Österreich","office@bisnode.com","+431588610","+431588613333"
"Coface Central Europe Holding AG","Auskunfteien","Marxergasse 4",1030,"Wien","Österreich","office@cofacecentraleurope.com","+431515540","+4315124415"
"Eder Christian Auskunftei GmbH","Auskunfteien","Wallackstraße 17",5671,"Bruck an der Großglocknerstraße","Österreich","christian.eder@sbg.at","+436644302981","+4365456048"
"Fair Use Auskunftei GmbH","Auskunfteien","Metzgerstraße 54",5020,"Salzburg","Österreich","office@fair-use.at","+43662451540",
"Mobilitätszentrale Burgenland","Auskunfteien","Domplatz 26",7000,"Eisenstadt","Österreich","office@b-mobil.info","+43268221070",
"payolution GmbH","Auskunfteien","Am Euro-Platz 2",1120,"Wien","Österreich","office@payolution.com","+4312360230",
"PROINFORM Wirtschaftsinformationen GmbH","Auskunfteien","Alter Markt 37,",5211,"Lengau","Österreich","info@proinform.at","+4377463854",
"CRIF GmbH","Auskunfteien","Diefenbachgasse 35",1150,"Wien","Österreich","auskunft@crif.com","+431897424428","+431897424431"
"infoscore austria gmbh","Auskunfteien","Weyringergasse 1",1040,"Wien","Österreich","info@infoscore.at","+43150364090","+4315036490968"
"Wiener Linien GmbH & Co KG","Verkehr","Erdbergstraße 202",1031,"Wien","Österreich",,,
"Österreichische Post AG ",,"Haidingergasse 1",1030,"Wien","Österreich",,,
"Gebühren Info Service GmbH",,"Postfach 1000",1051,"Wien","Österreich",,,
"Billa AG","Kundenkarte",,,,"Österreich",,,
"MERKUR Warenhandels AG","Kundenkarte",,,,"Österreich",,,
"BIPA Parfümerien GmbH","Kundenkarte",,,,"Österreich",,,
"dm","Kundenkarte",,,,"Österreich",,,
"Dorotheum","Kundenkarte",,,,"Österreich",,,
"Conrad","Kundenkarte",,,,"Österreich",,,
"Lieb Markt","Kundenkarte",,,,"Österreich",,,
"Tchibo Eduscho","Kundenkarte",,,,"Österreich",,,
"Libro","Kundenkarte",,,,"Österreich",,,
"XXXLutz","Kundenkarte",,,,"Österreich",,,
"Strandmeister","Kundenkarte",,,,"Österreich",,,
"Obi","Kundenkarte",,,,"Österreich",,,
"Hartlauer","Kundenkarte",,,,"Österreich",,,
"Peek & Cloppenburg","Kundenkarte",,,,"Österreich",,,
"Hervis Sports","Kundenkarte",,,,"Österreich",,,
"Breddys","Kundenkarte",,,,"Österreich",,,
"IKEA Family","Kundenkarte",,,,"Österreich",,,
"Penny Markt","Kundenkarte",,,,"Österreich",,,
"Cineplexx","Kundenkarte",,,,"Österreich",,,
"Deichmann","Kundenkarte",,,,"Österreich",,,
"denn's","Kundenkarte",,,,"Österreich",,,
"ÖBB Personenverkehrs AG","Verkehr",,,,"Österreich",,,
"H&M","Kundenkarte",,,,"Österreich",,,
"Libro","Kundenkarte",,,,"Österreich",,,
"McDonalds","Kundenkarte",,,,"Österreich",,,
"A1","Mobilfunk",,,,"Österreich",,,
"bob","Mobilfunk",,,,"Österreich",,,
"Drei","Mobilfunk",,,,"Österreich",,,
"educom","Mobilfunk",,,,"Österreich",,,
"eety","Mobilfunk",,,,"Österreich",,,
"Ge org!","Mobilfunk",,,,"Österreich",,,
"HoT","Mobilfunk",,,,"Österreich",,,
"Red Bull Mobile","Mobilfunk",,,,"Österreich",,,
"spusu","Mobilfunk",,,,"Österreich",,,
"T-Mobile","Mobilfunk",,,,"Österreich",,,
"tele.ring","Mobilfunk",,,,"Österreich",,,
"UPC Mobile","Mobilfunk",,,,"Österreich",,,
"Yesss","Mobilfunk",,,,"Österreich",,,
"car2go","Verkehr",,,,"Österreich",,,
"VOR Verkehrsverbund Ost Region","Verkehr",,,,"Österreich",,,
"OOE Oberösterreichischer Verkehrsverbund","Verkehr",,,,"Österreich",,,
"zipcar","Verkehr",,,,"Österreich",,,
"Verkehrsverbund Tirol","Verkehr",,,,"Österreich",,,
"Verkehrsverbund Vorarlberg","Verkehr",,,,"Österreich",,,
"VVNB","Verkehr",,,,"Österreich",,,
"Verkehrsverbund Steiermark","Verkehr",,,,"Österreich",,,
"AAE","Energieversorger",,,,"Österreich",,,
"E wie Einfach","Energieversorger",,,,"Österreich",,,
"E-Werk Gösting","Energieversorger",,,,"Österreich",,,
"E-Werk Gries am Brenner","Energieversorger",,,,"Österreich",,,
"E-Werk Wels","Energieversorger",,,,"Österreich",,,
"E-Werke Frastanz","Energieversorger",,,,"Österreich",,,
"easy green energy","Energieversorger",,,,"Österreich",,,
"Enamo Ökostrom","Energieversorger",,,,"Österreich",,,
"Energie AG Oberösterreich","Energieversorger",,,,"Österreich",,,
"Energie Burgenland","Energieversorger",,,,"Österreich",,,
"Energie Graz","Energieversorger",,,,"Österreich",,,
"Energie Klagenfurt","Energieversorger",,,,"Österreich",,,
"Energie Ried","Energieversorger",,,,"Österreich",,,
"Energie Steiermark","Energieversorger",,,,"Österreich",,,
"Energieallianz","Energieversorger",,,,"Österreich",,,
"erdgas oö.","Energieversorger",,,,"Österreich",,,
"EVN","Energieversorger",,,,"Österreich",,,
"Fernwärme Wien","Energieversorger",,,,"Österreich",,,
"Gastino","Energieversorger",,,,"Österreich",,,
"goldgas","Energieversorger",,,,"Österreich",,,
"Innsbrucker Kommunalbetriebe","Energieversorger",,,,"Österreich",,,
"ista","Energieversorger",,,,"Österreich",,,
"Kelag","Energieversorger",,,,"Österreich",,,
"Lichtgenossenschaft Neunkirchen","Energieversorger",,,,"Österreich",,,
"Linz AG","Energieversorger",,,,"Österreich",,,
"Maxenergy","Energieversorger",,,,"Österreich",,,
"MeinAlpenStrom","Energieversorger",,,,"Österreich",,,
"Montafonerbahn","Energieversorger",,,,"Österreich",,,
"Montana","Energieversorger",,,,"Österreich",,,
"MyElectric","Energieversorger",,,,"Österreich",,,
"Naturkraft","Energieversorger",,,,"Österreich",,,
"oekostrom","Energieversorger",,,,"Österreich",,,
"PST Energie","Energieversorger",,,,"Österreich",,,
"Pullstrom","Energieversorger",,,,"Österreich",,,
"Salzburg AG","Energieversorger",,,,"Österreich",,,
"schlaustrom","Energieversorger",,,,"Österreich",,,
"Stadtbetriebe Steyr","Energieversorger",,,,"Österreich",,,
"Stadtwerke Bregenz","Energieversorger",,,,"Österreich",,,
"Stadtwerke Feldkirch","Energieversorger",,,,"Österreich",,,
"Stadtwerke Hall in Tirol","Energieversorger",,,,"Österreich",,,
"Stadtwerke Judenburg","Energieversorger",,,,"Österreich",,,
"Stadtwerke Kapfenberg","Energieversorger",,,,"Österreich",,,
"Stadtwerke Leoben","Energieversorger",,,,"Österreich",,,
"Stadtwerke Schwaz","Energieversorger",,,,"Österreich",,,
"Stadtwerke Wörgl","Energieversorger",,,,"Österreich",,,
