Name,Name_Lang,Branche,Typ,Adresse,PLZ,Ort,Ebene,E-Mail,Tel,Fax,Pruefung
BIFIE,"Bundesinstitut für Bildungsforschung, Innovation & Entwicklung des österreichischen Schulwesens",Bildung,Behörde,Alpenstraße 121,5020,Salzburg,Bund,office@bifie.at,+43662620088,+436626200881900,23.08.2020
Studienbeihilfenbehörde,Studienbeihilfenbehörde,Bildung,Behörde,Gudrunstraße 179,1100,Wien,Bund,dsb@stbh.gv.at,+431601730,+43160173200,23.08.2020
ÖSZ,Österreichisches Sprachen-Kompetenz-Zentrum,Bildung,Dienstleister,Hans-Sachs-Gasse 3/I,8010,Graz,Bund,office@oesz.at,+43316824150,+433168241506,23.08.2020
Kunsthistorisches Museum,Kunsthistorisches Museum,Bildung,Museum / Theater / Bibliothek,Burgring 5,1010,Wien,Bund,info@khm.at,+431525240,+431525244099,21.08.2020
Naturhistorisches Museum,Naturhistorisches Museum Wien,Bildung,Museum / Theater / Bibliothek,Burgring 7,1010,Wien,Bund,info@nhm-wien.ac.at,+431521770,+43152177578,21.08.2020
Technisches Museum,Technisches Museum Wien mit Österreichischer Mediathek,Bildung,Museum / Theater / Bibliothek,Mariahilfer Straße 212,1140,Wien,Bund,museumsbox@tmw.at,+431899980,,21.08.2020
ÖNB,Österreichische Nationalbibliothek,Bildung,Museum / Theater / Bibliothek,"Josefsplatz 1, Postfach 25",1015,Wien,Bund,onb@onb.ac.at,+43153410,+43153410280,21.08.2020
Austro Control,Österreichische Gesellschaft für Zivilluftfahrt mit beschränkter Haftung,Bundesbehörde,Bundesamt,Wagramer Straße 19,1220,Wien,Bund,info@austrocontrol.at,+43517030,+435170301536,20.08.2020
BAES,Bundesamt für Ernährungssicherheit,Bundesbehörde,Bundesamt,"p.A. AGES, Spargelfeldstrasse 191",1200,Wien,Bund,baes@baes.gv.at,+435055532350,,20.08.2020
BAK,Bundesamt zur Korruptionsprävention und Korruptionsbekämpfung,Bundesbehörde,Bundesamt,Herrengasse 7,1010,Wien,Bund,BMI-III-BAK-SPOC@bak.gv.at,+43153126906800,+43153126108583,20.08.2020
BASG,Bundesamt für Sicherheit im Gesundheitswesen,Bundesbehörde,Bundesamt,Traisengasse 5,1200,Wien,Bund,basg_anfragen@basg.gv.at,+435055536111,+435055536111,20.08.2020
BEV,Bundesamt für Eich- und Vermessungswesen,Bundesbehörde,Bundesamt,Schiffamtsgasse 1-3,1020,Wien,Bund,kundenservice@bev.gv.at,+43121110822160,+4312111082992161,20.08.2020
BFA,Bundesamt für Fremdenwesen und Asyl,Bundesbehörde,Bundesamt,Modecenterstraße 22,1030,Wien,Bund,BFA-Einlaufstelle@bmi.gv.at,+4359133987004,+4359133987399,20.08.2020
BFW,Bundesamt für Wald,Bundesbehörde,Bundesamt,Seckendorff-Gudent-Weg 8,1131,Wien Postfach,Bund,bundesamt@bfw.gv.at,+431878382214,,20.08.2020
