"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Tel","Fax","Pruefung"
1,"Magistrat Klagenfurt","Magistrat der Landeshauptstadt Klagenfurt am Wörthersee","Bezirksbehörde","Administration","Rathaus, Neuer Platz 1",9010,"info@klagenfurt.at","'+434635370",,"25.08.2020"
2,"Magistrat der Stadt Villach","Magistrat der Stadt Villach","Bezirksbehörde","Administration","Rathausplatz 1",9500,"service@villach.at","'+434242205",,"25.08.2020"
3,"BH Feldkirchen","Bezirkshauptmannschaft Feldkirchen","Bezirksbehörde","Administration","Milesistraße 10",9560,"post.bhfe@ktn.gv.at","'+435053667000","'+435053667200","25.08.2020"
4,"BH Hermagor","Bezirkshauptmannschaft Hermagor","Bezirksbehörde","Administration","Hauptstraße 44",9620,"post.bhhe@ktn.gv.at","'+435053663000","'+435053663810","25.08.2020"
5,"BH Klagenfurt Land","Bezirkshauptmannschaft Klagenfurt Land","Bezirksbehörde","Administration","Völkermarkter Ring 19",9010,"post.bhkl@ktn.gv.at","'+435053664000","'+435053664001","25.08.2020"
6,"BH Spittal an der Drau","Bezirkshauptmannschaft Spittal an der Drau","Bezirksbehörde","Administration","Tiroler Straße 16",9800,"post.bhsp@ktn.gv.at","'+435053662000","'+435053662333","25.08.2020"
7,"BH St. Veit an der Glan","Bezirkshauptmannschaft St. Veit an der Glan","Bezirksbehörde","Administration","Hauptplatz 28",9300,"post.bhsv@ktn.gv.at","'+435053668000","'+435053668200","25.08.2020"
8,"BH Villach Land","Bezirkshauptmannschaft Villach Land","Bezirksbehörde","Administration","Meister-Friedrich-Straße 4",9500,"post.bhvl@ktn.gv.at","'+435053661000","'+435053661341","25.08.2020"
9,"BH Völkermarkt","Bezirkshauptmannschaft Völkermarkt","Bezirksbehörde","Administration","Spanheimergasse 2",9100,"post.bhvk@ktn.gv.at","'+435053665000","'+435053665511","25.08.2020"
10,"BH Wolfsberg","Bezirkshauptmannschaft Wolfsberg","Bezirksbehörde","Administration","Am Weiher 5/6",9400,"post.bhwo@ktn.gv.at","'+435053666000","'+435053666200","25.08.2020"
