"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Tel","Fax","Pruefung"
1,"LBS Amstetten","Landesberufsschule Amstetten","Bildung","Berufsschule","Leopold-Maderthaner-Platz 2",3300,"office@lbsamstetten.ac.at","+43747262786","+43747262786106","08.09.2020"
2,"LBS Baden","Landesberufsschule Baden","Bildung","Berufsschule","Josef Kollmann Straße 1",2500,"direktion@lbsbaden.ac.at","+43225286772","+4322528677234","08.09.2020"
3,"LBS Eggenburg","Landesberufsschule Eggenburg","Bildung","Berufsschule","Siegfried Marcus Straße 2",3730,"office@lbseggenburg.ac.at","+4329842500","+432984250050","08.09.2020"
4,"LBS Geras","Landesberufsschule Geras","Bildung","Berufsschule","Am Goggitschberg 5",2093,"office@lbsgeras.ac.at","+432912591","+43291259114","08.09.2020"
5,"LBS Geras - Standort Hollabrunn","Landesberufsschule Geras - Standort Hollabrunn","Bildung","Berufsschule","Josef Weisleinstraße 7",2020,"office@lbshollabrunn.ac.at","+4329522492","+432952249231","08.09.2020"
6,"BS für UhrmacherInnen","Berufsschule für UhrmacherInnen und Zeitmesstechnik","Bildung","Berufsschule","Raabser Straße 23",3822,"htl.karlstein@noeschule.at","+432844202","+432844202312","08.09.2020"
7,"LBS Laa an der Thaya","Landesberufsschule Laa an der Thaya","Bildung","Berufsschule","Wehrgärten 3",2136,"direktion@lbslaa-thaya.ac.at","+4325222304","+432522230420","08.09.2020"
8,"Gartenbauschule Langenlois","Landwirtschaftliche Berufs- und Fachschule","Bildung","Berufsschule","Am Rosenhügel 15",3550,"office@gartenbauschule.at","+4327342106","+432734210666","08.09.2020"
9,"LBS Langenlois","Landesberufsschule Langenlois","Bildung","Berufsschule","Walterstraße 35",3550,"direktion@lbslangenlois.ac.at","+4327342502","+432734250230","08.09.2020"
10,"LBS Lilienfeld","Landesberufsschule Lilienfeld","Bildung","Berufsschule","Berghofstraße 14",3180,"direktion@lbslilienfeld.ac.at","+43276254670","+4327625467038","08.09.2020"
11,"LBS Mistelbach","Landesberufsschule Mistelbach","Bildung","Berufsschule","Franz Bayer-Straße 2",2130,"direktion@lbsmistelbach.ac.at","+4325722369","+432572236955","08.09.2020"
12,"LBS Neunkirchen","Landesberufsschule Neunkirchen","Bildung","Berufsschule","Triester Straße 67",2620,"office@lbsneunkirchen.ac.at","+43263565386",,"08.09.2020"
13,"LBS Pöchlarn","Landesberufsschule Pöchlarn","Bildung","Berufsschule","Plesserstraße 1",3380,"holz.it@lbspoechlarn.ac.at","+4327572634","+432757263433","08.09.2020"
14,"LBS Schrems","Landesberufsschule Schrems","Bildung","Berufsschule","Dr.-Theodor-Körner-Platz 1",3943,"office@lbsschrems.ac.at","+43285376016",,"08.09.2020"
15,"BS St. Egyden/Steinfeld","Berufsschule des Bundes St. Egyden/Steinfeld","Bildung","Berufsschule","Puchberger Straße 1",2731,"318025@aon.at","+43263877431630","+43263877431119","08.09.2020"
16,"LBS St. Pölten","Landesberufsschule St. Pölten","Bildung","Berufsschule","Hötzendorfstraße 8",3100,"direktion@lbsstpoelten.ac.at","+43274273210","+432742732107","08.09.2020"
17,"BS der ÖBB","Berufsschule der Österreichischen Bundesbahnen","Bildung","Berufsschule","Werkstättenstraße 17",3100,"berufsschule@oebb.at","+436649675146",,"08.09.2020"
18,"LBS Eggenburg - Standort Stockerau","Landesberufsschule Eggenburg - Standort Stockerau","Bildung","Berufsschule","Weg zur Marienhöhe 3",2000,"direktion@lbseggenburg-stockerau.ac.at","+43226663401","+4322666340120","08.09.2020"
19,"LBS Stockerau","Landesberufsschule Stockerau","Bildung","Berufsschule","Brodschildstraße 20",2000,"office@lbsstockerau.ac.at","+43226662158","+4322666215833","08.09.2020"
20,"LBS Theresienfeld","Landesberufsschule Theresienfeld","Bildung","Berufsschule","Grazer Straße 24",2604,"direktion@lbstheresienfeld.ac.at","+43262271283","+4326227128322","08.09.2020"
21,"LBS Waldegg","Landesberufsschule Waldegg","Bildung","Berufsschule","Waldegg 41",2754,"office@lbswaldegg.ac.at","+43263342278","+4326334227825","08.09.2020"
22,"LBS Zistersdorf","Landesberufsschule Zistersdorf","Bildung","Berufsschule","Schlossplatz 7",2225,"direktion@lbszistersdorf.ac.at","+4325322360","+4325322360110","08.09.2020"
23,"LWBS Edelhof","Landwirtschaftliche Berufsschule Edelhof","Bildung","Berufsschule","Edelhof 1a",3910,"office@bs-edelhof.ac.at","+432822540730","+43282254073015","08.09.2020"
