"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","Land","E-Mail","Tel","Fax","Pruefung"
1,"BH Amstetten","Bezirkshauptmannschaft Amstetten","Bezirksbehörde","Administration","Preinsbacher Straße 11",3300,"Österreich","post.bham@noel.gv.at ","+43747290250","+437472902521000","25.08.2020"
2,"BH Baden","Bezirkshauptmannschaft Baden","Bezirksbehörde","Administration","Schwartzstraße 50",2500,"Österreich","post.bhbn@noel.gv.at ","+43225290250","+432252902522000","25.08.2020"
3,"BH Bruck an der Leitha","Bezirkshauptmannschaft Bruck an der Leitha","Bezirksbehörde","Administration","Fischamender Straße 10",2460,"Österreich","post.bhbl@noel.gv.at ","+43216290250","+432162902523000","25.08.2020"
4,"BH Gänserndorf","Bezirkshauptmannschaft Gänserndorf","Bezirksbehörde","Administration","Schönkirchner Straße 1",2230,"Österreich","post.bhgf@noel.gv.at ","+43228290250","+432282902524000","25.08.2020"
5,"BH Gmünd","Bezirkshauptmannschaft Gmünd","Bezirksbehörde","Administration","Schremser Straße 8",3950,"Österreich","post.bhgd@noel.gv.at ","+43285290250","+432852902525000","25.08.2020"
6,"BH Hollabrunn","Bezirkshauptmannschaft Hollabrunn","Bezirksbehörde","Administration","Mühlgasse 24",2020,"Österreich","post.bhhl@noel.gv.at ","+43295290250","+432952902527000","25.08.2020"
7,"BH Horn","Bezirkshauptmannschaft Horn","Bezirksbehörde","Administration","Frauenhofner Straße 2",3580,"Österreich","post.bhho@noel.gv.at ","+43298290250","+432982902528000","25.08.2020"
8,"BH Korneuburg","Bezirkshauptmannschaft Korneuburg","Bezirksbehörde","Administration","Bankmannring 5",2100,"Österreich","post.bhko@noel.gv.at ","+43226290250","+432262902529000","25.08.2020"
9,"BH Krems","Bezirkshauptmannschaft Krems","Bezirksbehörde","Administration","Drinkweldergasse 15",3500,"Österreich","post.bhkr@noel.gv.at ","+43273290250","+432732902530000","25.08.2020"
10,"BH Lilienfeld","Bezirkshauptmannschaft Lilienfeld","Bezirksbehörde","Administration","Am Anger 2",3180,"Österreich","post.bhlf@noel.gv.at ","+43276290250","+432762902531000","25.08.2020"
11,"BH Melk","Bezirkshauptmannschaft Melk","Bezirksbehörde","Administration","Abt Karl-Straße  25a",3390,"Österreich","post.bhme@noel.gv.at ","+43275290250","+432752902532000","25.08.2020"
12,"BH Mistelbach","Bezirkshauptmannschaft Mistelbach","Bezirksbehörde","Administration","Hauptplatz  4-5 ",2130,"Österreich","post.bhmi@noel.gv.at ","+43257290250","+432572902533000","25.08.2020"
13,"BH Mödling","Bezirkshauptmannschaft Mödling","Bezirksbehörde","Administration","Bahnstraße 2",2340,"Österreich","post.bhmd@noel.gv.at ","+43223690250","+432236902534000","25.08.2020"
14,"BH Neunkirchen","Bezirkshauptmannschaft Neunkirchen","Bezirksbehörde","Administration","Peischingerstraße 17",2620,"Österreich","post.bhnk@noel.gv.at","+43263590250","+432635902535000","25.08.2020"
15,"BH Scheibbs","Bezirkshauptmannschaft Scheibbs","Bezirksbehörde","Administration","Rathausplatz 5",3270,"Österreich","post.bhsb@noel.gv.at","+43748290250","+437482902538000","25.08.2020"
16,"BH St. Pölten","Bezirkshauptmannschaft St. Pölten","Bezirksbehörde","Administration","Am Bischofteich 1",3100,"Österreich","post.bhpl@noel.gv.at ","+43274290250","+432742902537000","25.08.2020"
17,"BH Tulln","Bezirkshauptmannschaft Tulln","Bezirksbehörde","Administration","Hauptplatz 33",3430,"Österreich","post.bhtu@noel.gv.at ","+43227290250","+432272902539000","25.08.2020"
18,"BH Waidhofen an der Thaya","Bezirkshauptmannschaft Waidhofen an der Thaya","Bezirksbehörde","Administration","Aignerstraße 1",3830,"Österreich","post.bhwt@noel.gv.at ","+43284290250","+432842902540000","25.08.2020"
19,"BH Wiener Neustadt","Bezirkshauptmannschaft Wiener Neustadt","Bezirksbehörde","Administration","Ungargasse 33",2700,"Österreich","post.bhwb@noel.gv.at","+43262290250","+432622902541000","25.08.2020"
20,"BH Zwettl","Bezirkshauptmannschaft Zwettl","Bezirksbehörde","Administration","Am Statzenberg 1",3910,"Österreich","post.bhzt@noel.gv.at","+43282290250","+432822902542000","25.08.2020"
