"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Tel","Fax","Pruefung"
1,"Bildungsdirektion für Niederösterreich","Bildungsdirektion für Niederösterreich","Bildung","Behörde","Rennbahnstraße 29",3109,"office@bildung-noe.gv.at","+4327422800","+4327422801111","19.09.2020"
2,"Landespolizeidirektion Niederösterreich","Landespolizeidirektion Niederösterreich","Infrastruktur","Polizei","Neue Herrengasse 15",3100,"LPD-N@polizei.gv.at","+4359133300","+4359133301009","19.09.2020"
3,"VP NÖ","Volkspartei Niederösterreich","Interessensvertretung","Partei","Ferstlergasse 4",3100,"vp.direkt@vpnoe.at","+4327429020",,"19.09.2020"
4,"SPÖ NÖ","Sozialdemokratischen Partei Österreichs, Landesorganisation Niederösterreich","Interessensvertretung","Partei","Niederösterreichring 1a",3100,"servicenoe@spoe.at","+4327422255",,"19.09.2020"
5,"Grüne NÖ","Die Grünen Niederösterreich","Interessensvertretung","Partei","Daniel Gran Straße 48",3100,"noe@gruene.at","+432742310660","‘+43274231066011","19.09.2020"
6,"FPÖ NÖ","FPÖ-Landesgruppe NÖ","Interessensvertretung","Partei","Purkersdorferstraße 38",3100,"fpoe-niederoesterreich@fpoe.at","+432742256280","+43274225628034","19.09.2020"
7,"Wirtschaftskammer Niederösterreich","Wirtschaftskammer Niederösterreich","Interessensvertretung","Kammer","Wirtschaftskammer-Platz 1",3100,"wknoe@wknoe.at","+4327428510","+43274285115899","18.08.2020"
8,"Rechtanswaltskammer Niederösterreich","Rechtanswaltskammer Niederösterreich","Interessensvertretung","Kammer","Andreas-Hofer-Straße 6",3100,"office@raknoe.at","+432742716500","+43274276588","18.08.2020"
9,"Landeszahnärztekammer Niederösterreich","Landeszahnärztekammer Niederösterreich","Interessensvertretung","Kammer","Kremser Gasse 20",3100,"office@noe.zahnaerztekammer.at","+43505113100","+43505113109","18.08.2020"
10,"Notariatskammer für Wien, Niederösterreich und Burgenland","Notariatskammer für Wien, Niederösterreich und Burgenland ","Interessensvertretung","Kammer","Landesgerichtsstraße 20",1010,"kammer-wnb@notar.or.at","+43140245090","+4314063475","18.08.2020"
