status,id,display_name,legal_name,url,department,street_address,city,neighbourhood,postal_code,region,country,requires_identification,operating_countries,custom_identifier,identifiers,generic_url,generic_email,generic_note,access_url,access_email,access_note,deletion_url,deletion_email,deletion_note,portability_url,portability_email,portability_note,correction_url,correction_email,correction_note
,,AUVA,Allgemeine Unfallversicherungsanstalt,,,Adalbert-Stifter-Straße 65,Wien,,1200,Wien,AUSTRIA,,,sozialversicherung_bund_1_20-08-2020,,,kontakt@auva.at,"Phone: +435939320000, Fax: +435939320606",,,,,,,,,,,,
,,PVA,Pensionsversicherungsanstalt,,,Friedrich-Hillegeist-Straße 1,Wien Postfach,,1021,Wien,AUSTRIA,,,sozialversicherung_bund_2_20-08-2020,,,pva@pensionsversicherung.at,"Phone: +4350303, Fax: +435030328850",,,,,,,,,,,,
,,VA des österreichischen Notariates,Versorgungsanstalt des österreichischen Notariates,,,"Florianigasse 2, Postfach 15",Wien,,1080,Wien,AUSTRIA,,,sozialversicherung_bund_3_20-08-2020,,,office@van.co.at,"Phone: +43140513810, Fax: ",,,,,,,,,,,,
,,BUAK,Bauarbeiter- Urlaubs- und Abfertigungskasse,,,Kliebergasse 1A,Wien,,1050,Wien,AUSTRIA,,,sozialversicherung_bund_4_20-08-2020,,,kommunikation@buak.at,"Phone: +43579579, Fax: ",,,,,,,,,,,,
,,ELGA,ELGA GmbH,,,Treustraße 35-43/ Stg. 4/ 1. Stock,Wien,,1200,Wien,AUSTRIA,,,sozialversicherung_bund_5_20-08-2020,,,office@elga.gv.at,"Phone: +4312127050, Fax: ",,,,,,,,,,,,
,,Dachverband der Sozialversicherungsträger,Dachverband der Sozialversicherungsträger,,,Kundmanngasse 21,Wien,,1030,Wien,AUSTRIA,,,sozialversicherung_bund_6_20-08-2020,,,posteingang.allgemein@sozialversicherung.at,"Phone: +431711320, Fax: ",,,,,,,,,,,,
,,HK-SKA,HK-SKA Betriebs-GmbH,,,Gartenstraße 9,Bad Ischl,,4820,Oberösterreich,AUSTRIA,,,sozialversicherung_bund_7_20-08-2020,,,info@herzreha.at,"Phone: +436132278010, Fax: +436132278018190",,,,,,,,,,,,
,,IEF-Service,IEF-Service GmbH,,,Linke Wienzeile 246,Wien,,1150,Wien,AUSTRIA,,,sozialversicherung_bund_8_20-08-2020,,,office@insolvenzentgelt.at,"Phone: +43120512120, Fax: ",,,,,,,,,,,,
,,IT-Services der Sozialversicherung,IT-Services der Sozialversicherung GmbH,,,Johann-Böhm-Platz 1,Wien,,1020,Wien,AUSTRIA,,,sozialversicherung_bund_9_20-08-2020,,,office@itsv.at,"Phone: +43501248445600, Fax: +43501248445080",,,,,,,,,,,,
,,SVC,Sozialversicherungs-Chipkarten Betriebs- und Errichtungsgesellschaft m.b.H.,,,Ernst-Melchior-Gasse 22,Wien,,1020,Wien,AUSTRIA,,,sozialversicherung_bund_10_20-08-2020,,,info@svc.co.at,"Phone: +43501247140, Fax: +43501247143776",,,,,,,,,,,,
,,SVD,SVD Büromanagement GmbH,,,Dresdner Straße 45,Wien,,1200,Wien,AUSTRIA,,,sozialversicherung_bund_11_20-08-2020,,,office@svdgmbh.at,"Phone: +4317981414, Fax: +4317981414200",,,,,,,,,,,,
,,BVAEB,"Versicherungsanstalt öffentlich Bediensteter, Eisenbahnen und Bergbau",,,Josefstätter Straße 80,Wien,,1080,Wien,AUSTRIA,,,sozialversicherung_bund_12_20-08-2020,,,postoffice@bvaeb.sv.at,"Phone: +4350405, Fax: +435040522900",,,,,,,,,,,,
