"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Tel","Fax","Pruefung"
1,"BS Altmünster","Berufsschule Altmünster","Bildung","Berufsschule","Ebenzweierstraße 26",4813,"bs-altmuenster.post@ooe.gv.at","+4361288530","+437327720258309","12.09.2020"
2,"BS Attnang","Berufsschule Attnang","Bildung","Berufsschule","Schulweg 5 – 7",4800,"bs-attnang.post@ooe.gv.at","+43732772035100","+437327720235199","12.09.2020"
3,"BS Freistadt","Berufsschule Freistadt","Bildung","Berufsschule","Linzer Straße 45",4240,"bs-freistadt.post@ooe.gv.at","+43732772035300","+437327720235399","12.09.2020"
4,"BS Gmunden","Berufsschule Vöcklabruck-Gmunden, Standort Gmunden","Bildung","Berufsschule","Miller v. Aichholz-Straße 30a",4810,"gm.bs-vg.post@ooe.gv.at","+43732772037406","+437327720237499","12.09.2020"
5,"BS Gmunden 1","Berufsschule Gmunden 1","Bildung","Berufsschule","Miller v. Aichholz-Straße 30",4810,"bs-gmunden1.post@ooe.gv.at","+43761264669","+437327720258349","12.09.2020"
6,"BS Kremsmünster","Berufsschule Kremsmünster","Bildung","Berufsschule","Kirchberg 8",4550,"bs-kremsmuenster.post@ooe.gv.at","+43732772035600","+437327720235699","12.09.2020"
7,"BS Linz 1","Berufsschule Linz 1","Bildung","Berufsschule","Reindlstraße 48 – 50",4040,"bs-linz1.post@ooe.gv.at","+43732772035700","+437327720235799","12.09.2020"
8,"BS Linz 10","Berufsschule Linz 10","Bildung","Berufsschule","Glimpfingerstraße 8d",4020,"bs-linz10.post@ooe.gv.at","+43732772036600","+437327720236699","12.09.2020"
9,"BS Linz 2","Berufsschule Linz 2","Bildung","Berufsschule","Wiener Straße 181",4020,"bs-linz2.post@ooe.gv.at","+43732772035800","+437327720235899","12.09.2020"
10,"BS Linz 3","Berufsschule Linz 3","Bildung","Berufsschule","Makartstraße 3a",4020,"bs-linz3.post@ooe.gv.at","+43732772035900","+437327720235999","12.09.2020"
11,"BS Linz 5","Berufsschule Linz 5","Bildung","Berufsschule","Glimpfingerstraße 8a",4020,"bs-linz5.post@ooe.gv.at","+43732772036100","''+437327720236199","12.09.2020"
12,"BS Linz 6","Berufsschule Linz 6","Bildung","Berufsschule","Ferihumerstraße 28",4040,"bs-linz6.post@ooe.gv.at","+43732772036200","+437327720236299","12.09.2020"
13,"BS Linz 7","Berufsschule Linz 7","Bildung","Berufsschule","Ferihumerstraße 28",4040,"bs-linz7.post@ooe.gv.at","+43732772036300","+437327720236399","12.09.2020"
14,"BS Linz 8","Berufsschule Linz 8","Bildung","Berufsschule","Glimpfingerstraße 8b",4020,"bs-linz8.post@ooe.gv.at","+43732772036400","+437327720236499","12.09.2020"
15,"BS Linz 9","Berufsschule Linz 9","Bildung","Berufsschule","Wiener Straße 181",4020,"bs-linz9.post@ooe.gv.at","+43732772036500","+437327720236599","12.09.2020"
16,"BS Mattighofen","Berufsschule Mattighofen","Bildung","Berufsschule","Feldstraße 3",5230,"bs-mattighofen.post@ooe.gv.at","+4377422271","+437327720258499","12.09.2020"
17,"BS Ried","Berufsschule Ried","Bildung","Berufsschule","Volksfeststraße 7",4910,"bs-ried.post@ooe.gv.at","+43732772036900","+437327720236999","12.09.2020"
18,"BS Rohrbach","Berufsschule Rohrbach","Bildung","Berufsschule","Schulstraße 7",4150,"bs-rohrbach.post@ooe.gv.at","+43732772037000","+437327720237099","12.09.2020"
19,"BS Schärding","Berufsschule Schärding","Bildung","Berufsschule","Ziergartenstraße 2",4780,"bs-schaerding.post@ooe.gv.at","+43732772037100","+437327720237199","12.09.2020"
20,"BS Steyr 1","Berufsschule Steyr 1","Bildung","Berufsschule","Otto-Pensel-Straße 14",4400,"bs-steyr1.post@ooe.gv.at","+43732772037200","+437327720237299","12.09.2020"
21,"BS Vöcklabruck","Berufsschule Vöcklabruck-Gmunden, Standort Vöcklabruck","Bildung","Berufsschule","Englweg 1",4840,"vb.bs-vg.post@ooe.gv.at","+43732772037405","+437327720237499","12.09.2020"
22,"BS Wels 1","Berufsschule Wels 1","Bildung","Berufsschule","Linzer Straße 68",4600,"bs-wels1.post@ooe.gv.at","+43732772037500","+437327720237599","12.09.2020"
23,"BS Wels 3","Berufsschule Wels 3","Bildung","Berufsschule","Carl-Blum-Straße 8",4600,"bs-wels3.post@ooe.gv.at","+43732772037700","+437327720237799","12.09.2020"
