"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Tel","Fax","Pruefung"
1,"BH Braunau","Bezirkshauptmannschaft Braunau","Bezirksbehörde","Administration","Hammersteinplatz 1",5280,"bh-br.post@ooe.gv.at","+4377228030",,"19.08.2020"
2,"BH Freistadt","Bezirkshauptmannschaft Freistadt","Bezirksbehörde","Administration","Promenade 5",4240,"bh-fr.post@ooe.gv.at","+4379427020","+437942702262399","19.08.2020"
3,"BH Gmunden","Bezirkshauptmannschaft Gmunden","Bezirksbehörde","Administration","Esplanade 10",4810,"bh-gm.post@ooe.gv.at","+4376127920","+437327720263399","19.08.2020"
4,"BH Grieskirchen und Eferding","Bezirkshauptmannschaften Grieskirchen und Eferding","Bezirksbehörde","Administration","Manglburg 14",4710,"BH-GR-EF.Post@ooe.gv.at","+4372486030","+437327720264399","19.08.2020"
5,"BH Kirchdorf","Bezirkshauptmannschaft Kirchdorf","Bezirksbehörde","Administration","Garnisonstraße 3",4560,"bh-ki.post@ooe.gv.at","+4375826850","+437582685265399","19.08.2020"
6,"BH Linz-Land","Bezirkshauptmannschaft Linz-Land","Bezirksbehörde","Administration","Kärntnerstraße 14-16",4020,"bh-ll.post@ooe.gv.at","+43732694140","+4373269414266399","19.08.2020"
7,"BH Perg","Bezirkshauptmannschaft Perg","Bezirksbehörde","Administration","Dirnbergerstraße 11",4320,"bh-pe.post@ooe.gv.at","+4372625510","+437262551267399","19.08.2020"
8,"BH Ried","Bezirkshauptmannschaft Ried","Bezirksbehörde","Administration","Parkgasse 1",4910,"bh-ri.post@ooe.gv.at","+4377529120","+437327720268399","19.08.2020"
9,"BH Rohrbach","Bezirkshauptmannschaft Rohrbach","Bezirksbehörde","Administration","Am Teich 1",4150,"bh-ro.post@ooe.gv.at","+43728988510","+4372898851269399","19.08.2020"
10,"BH Schärding","Bezirkshauptmannschaft Schärding","Bezirksbehörde","Administration","Ludwig-Pfliegl-Gasse 11",4780,"Personal.BH-SD.Post@ooe.gv.at","+43771231050","+4377123105270399","19.08.2020"
11,"BH Steyr-Land","Bezirkshauptmannschaft Steyr-Land","Bezirksbehörde","Administration","Spitalskystraße 10a",4400,"bh-se.post@ooe.gv.at","+437252523610","+43725252361271399","19.08.2020"
12,"BH Urfahr-Umgebung","Bezirkshauptmannschaft Urfahr-Umgebung","Bezirksbehörde","Administration","Peuerbachstraße 26",4040,"bh-uu.post@ooe.gv.at","+437327313010","+43732731301272399","19.08.2020"
13,"BH Vöcklabruck","Bezirkshauptmannschaft Vöcklabruck","Bezirksbehörde","Administration","Sportplatzstraße 1-3",4840,"bh-vb.post@ooe.gv.at","+4376727020","+437672702273399","19.08.2020"
14,"BH Wels-Land","Bezirkshauptmannschaft Wels-Land","Bezirksbehörde","Administration","Herrengasse 8",4600,"bh-wl.post@ooe.gv.at","+4372426180","+437242618274399","19.08.2020"
