"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","Land","E-Mail","Tel","Fax","Pruefung"
1,"Bildungsdirektion Oberösterreich","Bildungsdirektion Oberösterreich","Bildung","Behörde","Sonnensteinstraße 20",4040,"Österreich","bd.post@bildung-ooe.gv.at","'+4373270714131","'+4373270714140","19.08.2020"
2,"Landespolizeidirektion Oberösterreich","Landespolizeidirektion Oberösterreich","Infrastruktur","Polizei","Gruberstraße 35",4021,"Österreich","LPD-O@polizei.gv.at","+4359133500","+4359133407800","19.08.2020"
3,"Wirtschaftskammer Oberösterreich","Wirtschaftskammer Oberösterreich","Interessensvertretung","Kammer","Hessenplatz 3",4020,"Österreich","service@wkooe.at","+43590909","+435909092800","18.08.2020"
4,"Rechtanswaltskammer Oberösterreich","Rechtanswaltskammer Oberösterreich","Interessensvertretung","Kammer","Gruberstraße 21",4020,"Österreich","office@ooerak.or.at","+43732771730","+4373277173085","18.08.2020"
5,"Landeszahnärztekammer Oberösterreich","Landeszahnärztekammer Oberösterreich","Interessensvertretung","Kammer","Marienstraße 9/1",4020,"Österreich","office@ooe.zahnaerztekammer.at","+43505114010","+43505114014","18.08.2020"
6,"Notariatskammer für Oberösterreich","Notariatskammer für Oberösterreich","Interessensvertretung","Kammer","Schmiedegasse 20/5",4040,"Österreich","oberoesterreich@notariatskammer.at","+43732737073","+43732708019","18.08.2020"
7,"Ärztekammer Oberösterreich","Ärztekammer Oberösterreich","Interessensvertretung","Kammer","Dinghoferstraße 4",4010,"Österreich","aekooe@aekooe.at","+437327783710","+43732783660300","18.08.2020"
8,"Apothekerkammer Oberösterreich","Apothekerkammer Oberösterreich","Interessensvertretung","Kammer","Mozartstraße 26/1",4020,"Österreich","ooe@apothekerkammer.at","+43732770350","+4314028602951","18.08.2020"
9,"Arbeiterkammer Oberösterreich","Kammer für Arbeiter und Angestellte für Oberösterreich","Interessensvertretung","Kammer","Volksgartenstraße 40",4020,"Österreich","online@akooe.at","+43506906","+435069062860","18.08.2020"
10,"Kammer der Steuerberater und Wirtschaftsprüfer Oberösterreich","Kammer der Steuerberater und Wirtschaftsprüfer Oberösterreich","Interessensvertretung","Kammer","Landstraße 49/III",4020,"Österreich","ooe@ksw.or.at","+43732773385","+4373277338515","18.08.2020"
11,"Kammer der ZiviltechnikerInnen für Oberösterreich und Salzburg","Kammer der ZiviltechnikerInnen für Oberösterreich und Salzburg","Interessensvertretung","Kammer","Kaarstraße 2/II",4040,"Österreich","linz@arching-zt.at","+43732738394","+437327383944","18.08.2020"
12,"OÖ Landarbeiterkammer","Kammer für Arbeiter und Angestellte in der Land- und Forstwirtschaft in OÖ","Interessensvertretung","Kammer","Scharitzerstraße 9",4020,"Österreich","office@lak-ooe.at","+43732656381",,"18.08.2020"
13,"KFA für die Beamten der Landeshauptstadt Linz","Krankenfürsorge für die Beamten der Landeshauptstadt Linz","Gesundheit","Krankenfürsorgeanstalt","Hauptplatz 1","4020","Österreich","mkf@mag.linz.at","'+4373270701241",,"20.08.2020"
14,"KFA für oberösterreichische Gemeinden","Kranken- und Unfallfürsorge für oberösterreichische Gemeinden","Gesundheit","Krankenfürsorgeanstalt","Ferihumerstraße 8","4041","Österreich","office@kfg.ooe.gv.at","'+437327880000","+4373278800030","20.08.2020"
15,"KFA für oberösterreichische Landesbedienstete","Kranken- und Unfallfürsorge für oberösterreichische Landesbedienstete","Gesundheit","Krankenfürsorgeanstalt","Promenade 28","4010","Österreich","klf.post@ooe.gv.at","'+43732772013861",,"20.08.2020"
16,"Oberösterreichische Lehrer-Kranken- und Unfallfürsorge","Oberösterreichische Lehrer-Kranken- und Unfallfürsorge","Gesundheit","Krankenfürsorgeanstalt","Leonfeldner Straße 11","4041","Österreich","office@kfg.ooe.gv.at","'+437326682210",,"20.08.2020"
17,"KFA für Beamte der Stadt Steyr","Krankenfürsorgeanstalt für Beamte der Stadt Steyr","Gesundheit","Krankenfürsorgeanstalt","Postfach 200, Stadtplatz 27","4400","Österreich","kfa@steyr.gv.at","+437252575",,"20.08.2020"
18,"KFA für die Beamten der Stadt Wels","Krankenfürsorge für die Beamten der Stadt Wels","Gesundheit","Krankenfürsorgeanstalt","Stadtpiatz 1","4600","Österreich","kfw@wels.gv.at","+4372422354800",,"20.08.2020"
19,"Pensionsinstitut der Linz AG","Pensionsinstitut der Linz AG","Gesundheit","Zuschusskasse","Postfach 1300, Wiener Straße 151","4021","Österreich","pensionsinstitut@linzag.at","'+4373234003518","+4373234003522","20.08.2020"
