"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Homepage","Tel","Fax","Datenquelle","Pruefung"
1,"AKV","AKV EUROPA – Alpenländischer Kreditorenverband","Auskunfteien","Auskunfteien","Schleifmühlgasse 2",1041,"office@akveuropa.at",,"+435041000","+435041001522",,"24.08.2020"
2,"KSV1870","KS­V1870 Hol­ding AG","Auskunfteien","Auskunfteien","Wagenseilgasse 7",1120,"ksv@ksv.at",,"+43501870","+43501870991000",,"24.08.2020"
3,"Creditreform Wirtschaftsauskunftei Kubicki","Creditreform Wirtschaftsauskunftei Kubicki KG","Auskunfteien","Auskunfteien","Muthgasse 36-40/Bauteil 4",1190,"creditreform@wien.creditreform.at",,"+43121862200","+43121862204",,"24.08.2020"
4,"Aktiv Inkasso","Aktiv Inkasso e.U.","Auskunfteien","Auskunfteien","Walfischgasse 6/1/242",1010,"erfolg@aktivinkasso.at",,"+436606300000",,,"24.08.2020"
5,"Detektei Lux","Auskunftei Lux staatl konz cand jur K.G. WRBA","Auskunfteien","Auskunfteien","Grünentorgasse 29",1090,"wrba@a1.net",,"+4313151939",,,"24.08.2020"
6,"AVS","AVS Betriebsorganisation GesmbH","Auskunfteien","Auskunfteien","Hebbelplatz 5",1100,"austria@avs-europe.com",,"+4316045858","+4316039595",,"24.08.2020"
7,"Bisnode","Bisnode Austria GmbH","Auskunfteien","Auskunfteien","Jakov-Lind Straße 4/1",1020,"office.at@bisnode.com",,"+431588610","+431588613444",,"24.08.2020"
8,"Bisnode D&B","Bisnode D&B Austria GmbH","Auskunfteien","Auskunfteien","Jakov-Lind Straße 4/1",1020,"office.at@bisnode.com",,"+431588610","+431588613444",,"24.08.2020"
9,"Coface Central Europe","Coface Central Europe Holding GmbH","Auskunfteien","Auskunfteien","Marxergasse 4c",1030,"office@cofacecentraleurope.com",,"+431515540","+4315124415",,"24.08.2020"
10,"Eder Christian Auskunftei","Eder Christian Auskunftei GmbH","Auskunfteien","Auskunfteien","Wallackstraße 17",5671,"christian.eder@sbg.at",,"+436644302981","+4365456048",,"24.08.2020"
11,"Fair Use Auskunftei","Fair Use Auskunftei GmbH","Auskunfteien","Auskunfteien","Metzgerstraße 54",5020,"office@fair-use.at",,"'+43622939024",,,"24.08.2020"
12,"payolution","payolution GmbH","Auskunfteien","Auskunfteien","Am Euro-Platz 2",1120,"office@payolution.com",,"'+438004043300",,,"24.08.2020"
13,"PROINFORM","PROINFORM Wirtschaftsinformationen GmbH","Auskunfteien","Auskunfteien","Pongauerstraße 16",5202,"info@proinform.at",,"+4377463854",,,"24.08.2020"
14,"CRIF","CRIF GmbH","Auskunfteien","Auskunfteien","Rothschildplatz 3/Top 3.06.B",1020,"auskunft@crif.com",,"'+43189742440","'+4318974244833",,"24.08.2020"
15,"infoscore","infoscore austria GmbH","Auskunfteien","Auskunfteien","Weyringergasse 1",1040,"info@infoscore.at",,"+43150364090","+4315036490968",,"24.08.2020"
