"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","Land","E-Mail","Tel","Fax","Pruefung"
1,"UniCredit Bank Austria","UniCredit Bank Austria AG","Finanzen","Bank","Rothschildplatz 1",1020,"Österreich","info@unicreditgroup.at","+435050525","+435050556155","18.08.2020"
2,"BAWAG PSK","BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft","Finanzen","Bank","Wiedner Gürtel 11",1100,"Österreich","kundenservice@bawagpsk.com","+4359905",,"18.08.2020"
3,"Erste Bank und Sparkasse","Erste Bank der oesterreichischen Sparkassen AG","Finanzen","Bank","Am Belvedere 1",1100,"Österreich","service@s-servicecenter.at","+435010020111","+4350100910100","18.08.2020"
4,"Raiffeisenlandesbank Niederösterreich-Wien","Raiffeisenlandesbank Niederösterreich-Wien AG","Finanzen","Bank","F.-W.-Raiffeisen-Platz 1",1020,"Österreich","info@raiffeisenbank.at","+4351700900",,"18.08.2020"
5,"Raiffeisen Landesbank Burgenland","Raiffeisenlandesbank Burgenland und Revisionsverband eGen","Finanzen","Bank","Friedrich Wilhelm Raiffeisen-Straße 1",7000,"Österreich","info.rlbb@raiffeisen-burgenland.at","+4326826910","+432682691109","18.08.2020"
6,"Raiffeisen-Landesbank Steiermark","Raiffeisen-Landesbank Steiermark AG","Finanzen","Bank","Kaiserfeldgasse 5",8010,"Österreich","info@rlbstmk.at","+4331680360","+4331680363089","18.08.2020"
7,"Raiffeisenlandesbank Kärnten","Raiffeisenlandesbank Kärnten – Rechenzentrum und Revisionsverband, Registrierte Genossenschaft mit beschränkter Haftung","Finanzen","Bank","Raiffeisenplatz 1",9020,"Österreich","maria.wohlgemuth@rbgk.raiffeisen.at","+434639930012812",,"18.08.2020"
8,"Raiffeisenverband Salzburg","Raiffeisenverband Salzburg eGen","Finanzen","Bank","Schwarzstraße 13-15",5020,"Österreich","info@rvs.at","+436628886",,"18.08.2020"
9,"Raiffeisenlandesbank Oberösterreich","Raiffeisenlandesbank Oberösterreich Aktiengesellschaft","Finanzen","Bank","Europaplatz 1a",4020,"Österreich","internet@rlbooe.at","+4373265960","+43732659622739","18.08.2020"
10,"Raiffeisen-Landesbank Tirol","Raiffeisen-Landesbank Tirol AG","Finanzen","Bank","Adamgasse 1-7",6020,"Österreich","info@rlb-tirol.at","+4351253050","+43512530511938","18.08.2020"
11,"Raiffeisenlandesbank Vorarlberg","Raiffeisenlandesbank Vorarlberg Waren- und Revisionsverband registrierte Genossenschaft mit beschränkter Haftung","Finanzen","Bank","Rheinstraße 11",6900,"Österreich","info@raiba.at","+4355744050","+435574405331","18.08.2020"
12,"Volksbank Kärnten","Volksbank Kärnten eG","Finanzen","Bank","Pernhartgasse 7",9020,"Österreich","info@vbktn.at","+4350909","+43509099001","18.08.2020"
13,"Volksbank Niederösterreich","Volksbank Niederösterreich AG","Finanzen","Bank","Brunngasse 10",3100,"Österreich","kundenservice@vbnoe.at","+4327423910","+4327423918001","18.08.2020"
14,"Volksbank Oberösterreich","Volksbank Oberösterreich AG","Finanzen","Bank","Pfarrgasse 5",4600,"Österreich","office@vb-ooe.at","+4372424950","+43724249597","18.08.2020"
15,"Volksbank Salzburg","Volksbank Salzburg eG","Finanzen","Bank","St.-Julien-Straße 12",5020,"Österreich","kundenservice@volksbanksalzburg.at","+4366286960","+43662869621","18.08.2020"
16,"Volksbank Steiermark","Volksbank Steiermark AG","Finanzen","Bank","Schmiedgasse 31",8010,"Österreich","vertrieb@volksbank-stmk.at","+4350901","+43509018169","18.08.2020"
17,"Volksbank Tirol","Volksbank Tirol AG","Finanzen","Bank","Meinhardstraße 1",6020,"Österreich","kundenservice@volksbank.tirol","+4350566",,"18.08.2020"
18,"Volksbank Vorarlberg","Volksbank Vorarlberg e. Gen.","Finanzen","Bank","Ringstraße 27",6830,"Österreich","volksbank@vvb.at","+43508828000",,"18.08.2020"
19,"Volksbank Horn","Volksbank Wien AG","Finanzen","Bank","Hauptplatz 10",3580,"Österreich","kundenservice@volksbankwien.at","+4329822204",,"18.08.2020"
20,"Volksbank Wien","Volksbank Wien AG","Finanzen","Bank","Dietrichgasse 25",1030,"Österreich","kundenservice@volksbankwien.at","+431401370","+431401377600","18.08.2020"
21,"Oberbank","Oberbank AG","Finanzen","Bank","Untere Donaulände 28",4020,"Österreich","office@oberbank.at","+4373278020","+43732780232140","18.08.2020"
22,"BTV","Bank für Tirol und Vorarlberg Aktiengesellschaft","Finanzen","Bank","Stadtforum 1",6020,"Österreich","info@btv.at","+435053330",,"18.08.2020"
