"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Tel","Fax","Pruefung"
1,"Alevitische Glaubensgemeinschaft","Alevitische Glaubensgemeinschaft in Österreich","Interessensvertretung","Religionsgemeinschaft","Schererstraße 4",1210,"info@evang.at","+436602852624",,"18.08.2020"
2,"Altkatholische Kirche","Altkatholische Kirche Österreich","Interessensvertretung","Religionsgemeinschaft","Schottenring 17",1010,"kirchenleitung@altkatholiken.at","+4313178394",,"18.08.2020"
3,"Armenisch-apostolische Kirche","Armenisch-apostolische Kirche in Österreich ","Interessensvertretung","Religionsgemeinschaft","Kolonitzgasse 11",1030,"office@aakg.at","+4317180965","+4318906886","18.08.2020"
4,"Evangelische Kirche A.B. und H.B.","Evangelische Kirche A.B. und H.B.","Interessensvertretung","Religionsgemeinschaft","Severin-Schreiber-Gasse 1+3",1180,"info@evang.at","+4359151700",,"18.08.2020"
5,"Evangelisch-methodistische Kirche","Evangelisch-methodistische Kirche in Österreich","Interessensvertretung","Religionsgemeinschaft","Sechshauser Straße 56/1/9",1150,"superintendent@emk.at","+4316045347",,"18.08.2020"
6,"Freikirchen in Österreich","Freikirchen in Österreich","Interessensvertretung","Religionsgemeinschaft","Karl-Popper-Straße 16",1100,"datenschutz@freikirchen.at","+4319436714",,"18.08.2020"
7,"Griechisch-orientalische Kirche","Griechisch-orientalische Kirche","Interessensvertretung","Religionsgemeinschaft","Fleischmarkt 13",1010,"office@orthodoxe-kirche.at","+4315333889","+4315333889","18.08.2020"
8,"Islamische Glaubensgemeinschaft","Islamische Glaubensgemeinschaft in Österreich","Interessensvertretung","Religionsgemeinschaft","Bernardgasse 5",1070,"office@derislam.at","+4315263122","+43152631222","18.08.2020"
9,"Israelitische Religionsgesellschaft","Israelitische Religionsgesellschaft","Interessensvertretung","Religionsgemeinschaft","Seitenstettengasse 4",1010,"office@ikg-wien.at","+431531040","+43153104108","18.08.2020"
10,"Jehovas Zeugen","Jehovas Zeugen in Österreich","Interessensvertretung","Religionsgemeinschaft","Kaiserstrasse 36/25",1070,"Pid-at.de@jw.org","+4318045345",,"18.08.2020"
11,"Katholische Kirche","Katholische Kirche","Interessensvertretung","Religionsgemeinschaft","Rotenturmstraße 2",1010,"sekretariat@bischofskonferenz.at","+431516111010","+431516111037","18.08.2020"
12,"Kirche Jesu Christi der Heiligen der letzten Tage","Kirche Jesu Christi der Heiligen der letzten Tage (Mormonen) in Österreich","Interessensvertretung","Religionsgemeinschaft","Böcklinstraße 55",1020,"info@hlt.at","+436641351715","+431890629315","18.08.2020"
13,"Koptisch-orthodoxe Kirche","Koptisch-orthodoxe Kirche in Österreich","Interessensvertretung","Religionsgemeinschaft","Quadenstrasse 4-6",1220,"info@kopten.at","+4312827443","+4312827443","18.08.2020"
14,"Neuapostolische Kirche","Neuapostolische Kirche in Österreich","Interessensvertretung","Religionsgemeinschaft","Mittersteig 10, Postfach 49",1050,"info@nak.at","+4315860521","+431586052130","18.08.2020"
15,"Buddhistische Religionsgesellschaft","Österreichische Buddhistische Religionsgesellschaft ","Interessensvertretung","Religionsgemeinschaft","Fleischmarkt 16",1010,"office@buddhismus-austria.at","+4315123719","+431512371913","18.08.2020"
16,"Syrisch-orthodoxe Kirche","Syrisch-orthodoxe Kirche in Österreich","Interessensvertretung","Religionsgemeinschaft","Stefan-Fadinger-Platz 1",1100,,"+4318040916",,"18.08.2020"
17,"Alt-Alevitische Glaubensgemeinschaft","Alt-Alevitische Glaubensgemeinschaft in Österreich","Interessensvertretung","Religionsgemeinschaft","Kennergasse 10/R1",1100,"info@alt-aleviten.at",,,"18.08.2020"
18,"Bahá´í-Religionsgemeinschaft","Bahá´í-Religionsgemeinschaft in Österreich ","Interessensvertretung","Religionsgemeinschaft","Maroltingergasse 2",1140,"ngr@at.bahai.org","+4314791153","+431479115319","18.08.2020"
19,"Die Christengemeinschaft-Bewegung für Religiöse Erneuerungen","Die Christengemeinschaft-Bewegung für Religiöse Erneuerungen in Österreich ","Interessensvertretung","Religionsgemeinschaft","Mariahilferstraße 49/2/30",1060,"wien@christengemeinschaft.at","+4315871287",,"18.08.2020"
20,"Hinduistische Religionsgesellschaft","Hinduistische Religionsgesellschaft in Österreich ","Interessensvertretung","Religionsgemeinschaft","Lammgasse 1",1080,"info@hroe.at",,,"18.08.2020"
21,"Islamisch-Schiitische Glaubensgemeinschaft","Islamisch-Schiitische Glaubensgemeinschaft in Österreich","Interessensvertretung","Religionsgemeinschaft","Pezzlgasse 58",1170,"office@schia.at","+43699111979350",,"18.08.2020"
22,"Kirche der Siebenten-Tags-Adventisten","Kirche der Siebenten-Tags-Adventisten in Österreich ","Interessensvertretung","Religionsgemeinschaft","Prager Straße 287",1210,"office@adventisten.at","+4313199301","+4313199301199","18.08.2020"
23,"Pfingstkirche Gemeinde Gottes","Pfingstkirche Gemeinde Gottes in Österreich","Interessensvertretung","Religionsgemeinschaft","Maculangasse 9",1220,"office@gemeindegottes.at",,,"18.08.2020"
24,"Vereinigungskirche","Vereinigungskirche in Österreich","Interessensvertretung","Religionsgemeinschaft","Seidengasse 28/4",1070,"office@vereinigungskirche.at","+436645238794",,"18.08.2020"
25,"Vereinigte Pfingstkirche","Vereinigte Pfingstkirche Österreichs (VPKÖ)","Interessensvertretung","Religionsgemeinschaft","Simmeringer Hauptstraße 2",1110,"office@vpkoe.at",,,"18.08.2020"
