"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","Land","E-Mail","Tel","Fax","Pruefung"
1,"ÖAMTC","Österreichischer Automobil-, Motorrad- und Touringclub","Verein","Verkehr","Baumgasse 129",1030,"Österreich","office@oeamtc.at","+431711990",,"24.08.2020"
2,"Rotes Kreuz","Österreichisches Rotes Kreuz","Verein","NGO","Wiedner Hauptstraße 32",1041,"Österreich","service@roteskreuz.at","+431589000","+43158900199","24.08.2020"
3,"ARBÖ","Auto-, Motor- und Radfahrerbund Österreichs, Bundesorganisation","Verein","Verkehr","Johann-Böhm-Platz 1",1020,"Österreich","info@arboe.at","+431891210","+43189121236","24.08.2020"
4,"WWF","Umweltverband WWF Österreich (WORLD WIDE FUND FOR NATURE)","Verein","NGO","Ottakringer Straße 114-116",1160,"Österreich","wwf@wwf.at","+431488170","+4314881744","24.08.2020"
5,"Greenpeace","Greenpeace in Zentral- und Osteuropa","Verein","NGO","Wiedner Hauptstraße 120-124",1050,"Österreich","service@greenpeace.at","+4315454580",,"24.08.2020"
6,"Global2000","GLOBAL 2000/Friends of the Earth Austria","Verein","NGO","Neustiftgasse 36",1070,"Österreich","office@global2000.at","+4318125730","+4318125728","24.08.2020"
7,"Ärzte ohne Grenzen","Ärzte ohne Grenzen Österreich","Verein","NGO","Taborstraße 10",1020,"Österreich","datenschutz@aerzte-ohne-grenzen.at","+4314097276","+431409727640","24.08.2020"
8,"Skywarn","SKYWARN Austria - Organisation für mobile Unwettermeldungen und Wetterbeobachtung in Österreich","Verein","NGO","Weißenbachstraße 7",4541,"Österreich","office@skywarn.at",,,"24.08.2020"
9,"ÖVSV","Österreichischer Versuchssenderverband – Dachverband","Verein","Interessensvertretung","Industriezentrum NÖ-Süd, Straße 14, Objekt 31",2351,"Österreich","oevsv@oevsv.at","+4319992132","+4319992133","24.08.2020"
10,"ÖSV","Österreichischer Skiverband","Verein","Interessensvertretung","Olympiastraße 10",6020,"Österreich","info@oesv.at","+43512335010","+43512361998","24.08.2020"
11,"Pro mente","Österreichischer Dachverband für Vereine und Gesellschaften für psychische und soziale Gesundheit","Verein","NGO","Johann-Konrad-Vogel-Straße 13",4020,"Österreich","office@promenteaustria.at","+43732785397",,"24.08.2020"
12,"Schülerunion","Schülerunion Österreich","Verein","Interessensvertretung","Lichtenfelsgasse 7",1010,"Österreich","service@schuelerunion.at","+436649601571",,"06.09.2020"
13,"C3W","Chaos Computer Club Wien","Verein","NGO","Rathausstraße 6",1010,"Österreich","buero@c3w.at",,,"24.08.2020"
14,"NOYB","NOYB - Europäisches Zentrum für digitale Rechte","Verein","Interessensvertretung","Goldschlagstraße 172/4/2",1140,"Österreich","info@noyb.eu",,,"24.08.2020"
15,"metalab","Verein zur Förderung der Erforschung und Bildung sozialer und technischer Innovationen – metalab","Verein","NGO","Rathausstraße 6",1010,"Österreich","core@metalab.at","+43720002323",,"24.08.2020"
16,"ASBÖ","Arbeiter-Samariter-Bund Österreichs","Verein","NGO","Hollergasse 2-6",1150,"Österreich","info@samariterbund.net","+43189145226","+43189145149","24.08.2020"
17,"Reporter ohne Grenzen","Reporter ohne Grenzen Österreich","Verein","Interessensvertretung","Helferstorferstraße 5",1010,"Österreich","info@rog.at","+436642546847",,"24.08.2020"
18,"Amnesty","Amnesty International Österreich","Verein","Interessensvertretung","Lerchenfelder Gürtel 43/4/3",1160,"Österreich","office@amnesty.at","+43178008","+4317800844","24.08.2020"
19,"AKS","Aktion kritischer Schüler_innen, Bundesorganisation","Verein","Interessensvertretung","Amtshausgasse 4",1050,"Österreich","aks@aks.at","+431523124331",,"24.08.2020"
