"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Homepage","Tel","Fax","Datenquelle","Pruefung"
1,"durchblicker.at","YOUSURE Tarifvergleich GmbH","Versicherung","Dienstleister","Salzgries 15",1010,"datenschutz@durchblicker.at",,"+4313060900","+43130609009",,"07.09.2020"
2,"Allianz Travel","AWP P&C S.A.","Versicherung","Versicherung","Pottendorfer Straße 23-25",1120,"service.at@allianz.com",,"+431525030","+43152503999",,"07.09.2020"
3,"Allianz Elementar Versicherung","Allianz Elementar Versicherungs-AG","Versicherung","Versicherung","Hietzinger Kai 101-105",1130,"office@allianz.at",,"+431878070","+4318780000000",,"07.09.2020"
4,"ARAG","ARAG SE","Versicherung","Versicherung","Favoritenstraße 36, Postfach 71",1041,"info@arag.at",,"+431531020","+431531000000",,"07.09.2020"
5,"ARGUS","Radlobby ARGUS","Versicherung","Versicherung","Frankenberggasse 11",1040,"service@argus.or.at",,"+4315050907","+431505000000",,"07.09.2020"
6,"D.A.S.","D.A.S. Rechtsschutz AG","Versicherung","Versicherung","Hernalser Gürtel 17",1170,"office@das.at",,"+431386300","+431405000000",,"07.09.2020"
7,"Donau Versicherung","DONAU Versicherung AG Vienna Insurance Group","Versicherung","Versicherung","Schottenring 15",1010,"donau@donauversicherung.at",,"+435033000000",,,"07.09.2020"
8,"ERGO","ERGO Versicherung Aktiengesellschaft","Versicherung","Versicherung","Modecenterstraße 17",1110,"office@ergo-versicherung.at",,"+431274440","+431274000000",,"07.09.2020"
9,"Europäische Reiseversicherung","Europäische Reiseversicherung AG","Versicherung","Versicherung","Kratochwjlestraße 4",1220,"info@europaeische.at",,"+4313172500","+4313199367",,"07.09.2020"
10,"Generali","Generali Versicherung AG","Versicherung","Versicherung","Landskrongasse 1-3, Postfach 172",1010,"office.at@generali.com",,"+431534010","+431532000000000",,"07.09.2020"
11,"Grazer Wechselseitige","Grazer Wechselseitige Versicherung Aktiengesellschaft","Versicherung","Versicherung","Herrengasse 18-20",8010,"service@grawe.at",,"+4331680000000","+4331680000000",,"07.09.2020"
12,"HDI Versicherung","HDI Versicherung AG ","Versicherung","Versicherung","Edelsinnstraße 7-11 ",1120,"office@hdi.at",,"+435090530","+4350910000000",,"07.09.2020"
13,"HDI Lebensversicherung","HDI Lebensversicherung AG","Versicherung","Versicherung","Dresdner Straße 91, BIG BIZ C2, 3. OG",1200,"office@hdi-leben.at",,"+431207090","+4312070999",,"07.09.2020"
14,"Helvetia","Helvetia Versicherungen AG","Versicherung","Versicherung","Hoher Markt 10 - 11",1010,"info@helvetia.at",,"+43502221000","+435022000000",,"07.09.2020"
15,"Kärntner Landesversicherung","Kärntner Landesversicherung auf Gegenseitigkeit","Versicherung","Versicherung","Domgasse 21",9020,"anfragen@klv.at",,"+4346358180","+434636000000",,"07.09.2020"
16,"LAMIE","LAMIE AG lifestyle insurance services","Versicherung","Versicherung","Hasnerstraße 2",4020,"office@lamie-direkt.at",,"+437322596","+43732259660",,"07.09.2020"
17,"Merkur Versicherung","Merkur Versicherung Aktiengesellschaft","Versicherung","Versicherung","Conrad-von-Hötzendorf-Straße 84",8010,"merkur@merkur.at",,"+4331680340","+4331680000000",,"07.09.2020"
18,"Muki","muki Versicherungsverein auf Gegenseitigkeit","Versicherung","Versicherung","Wirerstraße 10",4820,"office@muki.com",,"+43506651000","+43506654200",,"07.09.2020"
19,"Niederösterreichische Versicherung","Niederösterreichische Versicherung AG","Versicherung","Versicherung","Neue Herrengasse 10",3100,"info@nv.at",,"+43274290130","+43274290136395",,"08.09.2020"
20,"Oberösterreichische Versicherung","Oberösterreichische Versicherung AG","Versicherung","Versicherung","Gruberstraße 32",4020,"office@ooev.at",,"+4357891710","+435789000000",,"07.09.2020"
21,"ROLAND","ROLAND Rechtsschutz-Versicherungs-AG","Versicherung","Versicherung","Mariannengasse 14",1090,"roland.info@roland-rechtsschutz.at",,"+43171877330","+431719000000",,"07.09.2020"
22,"R+V","R+V Allgemeine Versicherung AG","Versicherung","Versicherung","Wilhelmstraße 68",1120,"info@ruv.at",,"+43181053330","+4318110000000",,"07.09.2020"
23,"Smart Insurance","Smart Insurance & IT Solutions GmbH","Versicherung","Dienstleister","Brigittenauer Lände 50-54",1203,"office@smart-versicherung.at",,"+43502221919",,,"07.09.2020"
24,"Tiroler Versicherung","TIROLER VERSICHERUNG V.a.G.","Versicherung","Versicherung","Wilhelm-Greil-Straße 10",6020,"mail@tiroler.at",,"+4351253130","+4351250000000",,"07.09.2020"
25,"UNIQA","UNIQA Österreich Versicherungen AG","Versicherung","Versicherung","Untere Donaustraße 21",1029,"info@uniqa.at",,"+4350677670","+4350677676",,"07.09.2020"
26,"VAV","VAV Versicherungs-Aktiengesellschaft","Versicherung","Versicherung","Münzgasse 6",1030,"info@vav.at",,"+431716070","+43171607100",,"07.09.2020"
27,"Verkehrsclub Österreich","Verkehrsclub Österreich","Versicherung","Versicherung","Bräuhausgasse 7-9",1050,"vcoe@vcoe.at",,"+4318932697",,,"07.09.2020"
28,"Wiener Städtische","WIENER STÄDTISCHE Versicherung AG Vienna Insurance Group","Versicherung","Versicherung","Schottenring 30, Postfach 80",1011,"kundenservice@wienerstaedtische.at ",,"+435035000000",,,"07.09.2020"
29,"Wüstenrot","Bausparkasse Wüstenrot AG","Versicherung","Versicherung","Alpenstraße 70",5020,"office@wuestenrot.at",,"+4357070100","+4357070109",,"07.09.2020"
30,"Zuricher Versicherung","Zürich Versicherungs-Aktiengesellschaft","Versicherung","Versicherung","Schwarzenbergplatz 15",1010,"service@at.zurich.com",,"+431801000000","+431801000000",,"07.09.2020"
31,"Zurich Connect","Zürich Versicherungs-Aktiengesellschaft","Versicherung","Versicherung","Schwarzenbergplatz 15",1010,"office@zurich-connect.at",,"+431801000000","+431960000000",,"07.09.2020"
32,"Österreichische Beamtenversicherung","Österreichische Beamtenversicherung, Versicherungsverein auf Gegenseitigkeit","Versicherung","Versicherung","Grillparzerstraße 11",1016,"service@oebv.com",,"+4359808",,,"07.09.2020"
