"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Tel","Fax","Pruefung"
1,"LBS Salzburg 1","Landesberufsschule Salzburg 1","Bildung","Berufsschule","Makartkai 3",5020,"sekretariat@lbs1.salzburg.at","'+436624316890","'+43662431689139","12.09.2020"
2,"LBS Salzburg 2","Landesberufsschule Salzburg 2","Bildung","Berufsschule","Makartkai 1",5020,"sekretariat@lbs2.salzburg.at","'+436624321510","'+436624321511205","12.09.2020"
3,"LBS Salzburg 3","Landesberufsschule Salzburg 3","Bildung","Berufsschule","Erzherzog-Eugen-Straße 15",5020,"direktion@lbs3.salzburg.at","'+436624517530","'+436624517531305","12.09.2020"
4,"LBS Salzburg 4","Landesberufsschule Salzburg 4","Bildung","Berufsschule","Schiessstattstraße 4",5020,"sekretariat@lbs4.salzburg.at","'+436624306160","'+43662430616499","12.09.2020"
5,"LBS Hallein","Landesberufsschule Hallein","Bildung","Berufsschule","Weisslhofweg 5",5400,"direktion@lbs-hallein.salzburg.at","'+436245803360",,"12.09.2020"
6,"LBS Kuchl","Landesberufsschule Kuchl","Bildung","Berufsschule","Markt 332",5431,"sekretariat@lbs-kuchl.salzburg.at","+4362446077","+436244607725","12.09.2020"
7,"LBS Obertrum","Landesberufsschule Obertrum","Bildung","Berufsschule","Mattigtalstraße 10",5162,"direktion@lbs-obertrum.salzburg.at","+43621983040","+436219830414","12.09.2020"
8,"LBS St. Johann","Landesberufsschule St. Johann","Bildung","Berufsschule","Sparkassenstraße 24",5600,"sekretariat@lbs-st-johann.salzburg.at","+4364126325105","+436412632520","12.09.2020"
9,"LBS Tamsweg","Landesberufsschule Tamsweg","Bildung","Berufsschule","Schießstattstraße 19",5580,"sekretariat@lbs-tamsweg.salzburg.at","+4364747078","+436474707820","12.09.2020"
10,"LBS Wals","Landesberufsschule Wals","Bildung","Berufsschule","Schulstraße 7",5071,"sekretariat@lbs-wals.salzburg.at","+43662851376","+4366285137685","12.09.2020"
11,"LBS Zell am See","Landesberufsschule Zell am See","Bildung","Berufsschule","Schulstraße 4",5700,"sekretariat@lbs-zell.salzburg.at","+436542726240","+436542726244","12.09.2020"
