"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Tel","Fax","Pruefung"
1,"FBS der Swarovski KG","Fachberufsschule der Swarovski KG","Bildung","Berufsschule","Swarovskistraße 30",6112,"fachberufs.schule@swarovski.com","'+4352245007157","'+4352245012844","12.09.2020"
2,"FBS Plansee Group","Fachberufsschule Plansee Group","Bildung","Berufsschule","Metallwerk-Plansee-Straße 71",6600,"bruno.dengg@plansee.com","+4356726002518","'+43567262518","12.09.2020"
3,"Tiroler FBS für Bautechnik und Malerei","Tiroler Fachberufsschule für Bautechnik und Malerei","Bildung","Berufsschule","Eichatstraße 18a",6067,"direktion@tfbs-bau.tsn.at","+43522354356","+4352235435620","12.09.2020"
4,"TFBS für Elektrotechnik, Kommunikation und Elektronik","Tiroler Fachberufsschule für Elektrotechnik, Kommunikation und Elektronik","Bildung","Berufsschule","Lohbachufer 6",6020,"direktion@tfbs-elektronik.tsn.at","+43512284534","+435122845344","12.09.2020"
5,"TFBS für Ernährung, Schönheit, Chemie, Medien Standort St. Nikolaus","tiroler Fachberufsschule für Ernährung, Schönheit, Chemie, Medien Standort St. Nikolaus","Bildung","Berufsschule","Innstraße 36",6020,"direktion@tfbs-escm.tsn.at","+43512285715","+435122857155","12.09.2020"
6,"TFBS für Ernährung, Schönheit, Chemie, Medien Standort Lohbach","tiroler Fachberufsschule für Ernährung, Schönheit, Chemie, Medien Standort Lohbach","Bildung","Berufsschule","Lohbachufer 6a",6020,"direktion@tfbs-escm.tsn.at","+43512284566","+435122845669","12.09.2020"
7,"TFBS für Fotografie, Optik und Hörakustik","Tiroler Fachberufsschule für Fotografie, Optik und Hörakustik","Bildung","Berufsschule","Kaiser-Max-Straße 11",6060,"direktion@tfbs-foto.tsn.at","+43522353141","+43522344141","12.09.2020"
8,"TFBS für Garten, Raum und Mode","Tiroler Fachberufsschule für Garten, Raum und Mode","Bildung","Berufsschule","Kaiser-Max-Straße 3",6060,"direktion@tfbs-garamo.tsn.at","+43522342513","+4352234251320","12.09.2020"
9,"TFBS für Glastechnik","Tiroler Fachberufsschule für Glastechnik","Bildung","Berufsschule","Mariatal 2",6233,"direktion@tfbs-glas.tsn.at","+4353376262313","+4353376262320","12.09.2020"
10,"TFBS für Handel und Büro Imst","Tiroler Fachberufsschule für Handel und Büro Imst","Bildung","Berufsschule","Ballgasse 7",6460,"direktion@tfbs-imst.tsn.at","+43541266801","+4354126680112","12.09.2020"
11,"TFBS für Handel und Büro Innsbruck","Tiroler Fachberufsschule für Handel und Büro Innsbruck","Bildung","Berufsschule","Lohbachufer 6b",6020,"direktion@tfbs-hbi.tsn.at","+43512284531","+435122845315","12.09.2020"
12,"TFBS für Handel und Büro Kitzbühel","Tiroler Fachberufsschule für Handel und Büro Kitzbühel","Bildung","Berufsschule","Wagnerstraße 14",6370,"direktion@tfbs-kitzbuehel.tsn.at","+43535664275",,"12.09.2020"
13,"TFBS für Handel und Büro Reutte","Tiroler Fachberufsschule für Handel und Büro Reutte","Bildung","Berufsschule","Speckbacherstraße 9",6600,"direktion@tfbs-reutte.tsn.at","+43567272319","+43567221071","12.09.2020"
14,"TFBS für Handel und Büro Schwaz","Tiroler Fachberufsschule für Handel und Büro Schwaz","Bildung","Berufsschule","Johannes-Messner-Weg 6",6130,"direktion@tfbs-schwaz.tsn.at","+43524262479","+4352426247914","12.09.2020"
15,"TFBS für Holztechnik","Tiroler Fachberufsschule für Holztechnik","Bildung","Berufsschule","Salzbergstraße 100",6067,"direktion@tfbs-holz.tsn.at","+43522357636","+4352235763610","12.09.2020"
16,"TFBS für Installations- und Blechtechnik","Tiroler Fachberufsschule für Installations- und Blechtechnik","Bildung","Berufsschule","Mandelsbergerstraße 12",6020,"direktion@tfbs-installation.tsn.at","+43512584484","+435125844848","12.09.2020"
17,"TFBS für Kraftfahrzeugstechnik","Tiroler Fachberufsschule für Kraftfahrzeugstechnik","Bildung","Berufsschule","Mandelsbergerstraße 12",6020,"direktion@tfbs-kfz.tsn.at","+43512588350","+435125883504","12.09.2020"
18,"TFBS für Metalltechnik","Tiroler Fachberufsschule für Metalltechnik","Bildung","Berufsschule","Mandelsbergerstraße 12",6020,"direktion@tfbs-metall.tsn.at","+43512587180","+4351258718022","12.09.2020"
19,"TFBS für Tourismus Absam","Tiroler Fachberufsschule für Tourismus Absam","Bildung","Berufsschule","Eichatstraße 18",6067,"direktion@tfbs-absam.tsn.at","+43522356359","+4352235635918","12.09.2020"
20,"TFBS für Tourismus und Handel Landeck","Tiroler Fachberufsschule für Tourismus und Handel Landeck","Bildung","Berufsschule","Kreuzgasse 9",6500,"direktion@tfbs-landeck.tsn.at","+43544265215","+4354426521535","12.09.2020"
21,"TFBS für Wirtschaft und Technik Kufstein-Rotholz","Tiroler Fachberufsschule für Wirtschaft und Technik Kufstein-Rotholz","Bildung","Berufsschule","Salurner Straße 22",6330,"direktion@tfbs-kufstein.tsn.at","+43537264195","+435372641955","12.09.2020"
22,"TFBS Lienz","Tiroler Fachberufsschule Lienz","Bildung","Berufsschule","Linker Iselweg 20",9900,"direktion@tfbs-lienz.tsn.at","+43485262726","+434852627265","12.09.2020"
