"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Tel","Fax","Pruefung"
1,"Bildungsdirektion für Tirol","Bildungsdirektion für Tirol","Bildung","Behörde","Heiliggeiststraße 7",6020,"office@bildung-tirol.gv.at","'+435129012",,"19.08.2020"
2,"Landespolizeidirektion Tirol","Landespolizeidirektion Tirol","Infrastruktur","Polizei","Kaiserjägerstraße 8",6020,"LPD-T@polizei.gv.at","+4359133700",,"19.08.2020"
3,"Wirtschaftskammer Tirol","Wirtschaftskammer Tirol","Interessensvertretung","Kammer","Wilhelm-Greil-Straße 7",6020,"office@wktirol.at","+435909050","+435909051467","18.08.2020"
4,"Rechtanswaltskammer Tirol","Rechtanswaltskammer Tirol","Interessensvertretung","Kammer","Meraner Straße 3/III",6020,"office@tiroler-rak.at","+43512587067","+43512571384","18.08.2020"
5,"Landeszahnärztekammer Tirol","Landeszahnärztekammer Tirol","Interessensvertretung","Kammer","Anichstraße 7/3",6020,"office@tiroler.zahnaerztekammer.at","+43505116020","+43505116026","18.08.2020"
6,"Notariatskammer für Tirol und Vorarlberg","Notariatskammer für Tirol und Vorarlberg","Interessensvertretung","Kammer","Maximilianstraße 3",6010,"Notariatskammer@nktv.at","+43512564141","+4351256414150","18.08.2020"
7,"Ärztekammer Tirol","Ärztekammer Tirol","Interessensvertretung","Kammer","Anichstraße 7/IV",6020,"kammer@aektirol.at","+43512520580","+4351252058130","18.08.2020"
8,"Apothekerkammer Tirol","Apothekerkammer Tirol","Interessensvertretung","Kammer","Sparkassenplatz 3",6020,"tirol@apothekerkammer.at","+435125870730","+435125870733","18.08.2020"
9,"Arbeiterkammer Tirol","Kammer für Arbeiter und Angestellte für Tirol","Interessensvertretung","Kammer","Maximilianstraße 7",6020,"innsbruck@ak-tirol.com","+435125340","'+435125340-1208","18.08.2020"
10,"Kammer der Steuerberater und Wirtschaftsprüfer Tirol","Kammer der Steuerberater und Wirtschaftsprüfer Tirol","Interessensvertretung","Kammer","Museumstraße 34/6. Stock",6020,"tirol@ksw.or.at","+43512589012","+4351258901210","18.08.2020"
11,"Kammer der ZiviltechnikerInnen für Tirol und Vorarlberg","Kammer der ZiviltechnikerInnen für Tirol und Vorarlberg","Interessensvertretung","Kammer","Rennweg 1",6020,"arch.ing.office@kammerwest.at","+43512588335","+435125883356","18.08.2020"
12,"Landarbeiterkammer Tirol","Landarbeiterkammer Tirol","Interessensvertretung","Kammer","Neugasteig 18",6167,"andreas.gleirscher@lkv-tirol.at","+436648398910","+43592923099","18.08.2020"
13,"KFA der Tiroler Gemeindebeamten","Kranken- und Unfallfürsorge der Tiroler Gemeindebeamten","Gesundheit","Krankenfürsorgeanstalt","Adamgasse 7a","6020",,"+43512572838","'+4351257283815","20.08.2020"
14,"KFA der Tiroler Landesbeamten einschließlich der LandeslehrerInnen","Kranken- und Unfallfürsorge der Tiroler Landesbeamten einschließlich der LandeslehrerInnen","Gesundheit","Krankenfürsorgeanstalt","Wilhelm-Greil-Straße 17/II","6020","kuf@tirol.gv.at","+435125082152","'+43512508742155","20.08.2020"
15,"Gemeindeverband für das Pensionsrecht der Tiroler Gemeindebeamten","Gemeindeverband für das Pensionsrecht der Tiroler Gemeindebeamten","Gesundheit","Dienstleister","Adamgasse 7 A",6020,,"+43512572838",,"20.08.2020"
16,"Medizinische Universität Innsbruck","Medizinische Universität Innsbruck","Bildung","Universität","Christoph Probst Platz 1, Innrain 52",6020,"i-master@i-med.ac.at","'+4351290030",,"23.08.2020"
17,"UIBK","Leopold-Franzens-Universität Innsbruck","Bildung","Universität","Innrain 52",6020,"datenschutzbeauftragter@uibk.ac.at","'+435125070",,"23.08.2020"
18,"UMIT Tirol","UMIT Private Universität für Gesundheitswissenschaften, Medizinische Informatik und Technik GmbH","Bildung","Privatuniversität","Eduard-Wallnöfer-Zentrum 1",6060,"rektorat@umit.at","'+435086483000","+43508648673001","24.08.2020"
19,"FH Gesundheit Tirol","fhg - Zentrum für Gesundheitsberufe Tirol GmbH","Bildung","Fachhochschul-Einrichtung","Innrain 98",6020,"info@fhg-tirol.ac.at","+4351253220","+43512532275200","24.08.2020"
20,"MCI","MCI Management Center Innsbruck Internationale Hochschule GmbH","Bildung","Fachhochschul-Einrichtung","Universitätsstraße 15",6020,"office@mci.edu","+4351220700","+4351220701099","24.08.2020"
21,"PH Tirol","Pädagogische Hochschule Tirol","Bildung","Pädagogische Hochschule","Eduard-Bodem-Gasse 1 / 3. OG",6020,"office@ph-tirol.ac.at","+4351259923",,"24.08.2020"
22,"KPH Edith Stein","Kirchliche Pädagogische Hochschule Edith Stein","Bildung","Pädagogische Hochschule","Riedgasse 11",6020,"info@kph-es.at","+4351222305601",,"24.08.2020"
23,"FH Kufstein","Fachhochschule Kufstein Tirol Bildungs GmbH","Bildung","Fachhochschule","Andreas Hofer-Straße 7",6330,"info@fh-kufstein.ac.at","+43537271819","‘+43537271819104","24.08.2020"
24,"ÖVP","Landtagsklub der Tiroler Volkspartei","Interessensvertretung","Partei","Eduard Wallnöferplatz, Altes Landhaus, Zi. C202",6020,"buero@tiroler-vp.at","+435125083060","+43512508743065","19.09.2020"
