"Firmenname ","Branche","Adresse","PLZ","Stadt","Land","E-Mail","Tel","Fax","E-Mail2","Tel2","Fax2"
"ACE EUROPEAN GROUP LIMITED, Zweigniederlassung Österreich","Versicherung","Kärntner Ring 5-7",1010,"Wien","Österreich",,,,,,
"Acredia Versicherung AG","Versicherung","Himmelpfortgasse 29",1010,"Wien","Österreich",,"+431374514","+4313745142",,,
"AIG Europe Limited, Direktion für Österreich","Versicherung","Herrengasse 1-3",1010,"Wien","Österreich",,,,,,
"Allianz Elementar Lebensversicherungs-Aktiengesellschaft","Versicherung","Hietzinger Kai 101-105",1130,"Wien","Österreich",,"+43187807","+4318780727",,,
"Allianz Elementar Versicherungs-Aktiengesellschaft","Versicherung","Hietzinger Kai 101-105",1130,"Wien","Österreich",,"+43187807","+4318780753",,,
"APK Versicherung AG","Versicherung","Thomas-Klestil-Platz 1",1030,"Wien","Österreich",,"+4317129980","+4317129980",,,
"ARAG SE Direktion für Österreich","Versicherung","Favoritenstraße 36",1041,"Wien","Österreich",,,,,,
"Atradius Credit Insurance N.V., Zweigniederlassung Österreich","Versicherung","Donau-City-Straße 7 Vienna DC Tower 1",1220,"Wien","Österreich",,,,,,
"AWP P&C S.A. Niederlassung für Österreich","Versicherung","Pottendorfer Straße 23-25",1120,"Wien","Österreich",,"+43152503","+43152503999",,,
"BAWAG P.S.K. Versicherung AG","Versicherung","Kratochwjlestraße 4",1220,"Wien","Österreich",,"+4315334668","+4315345325",,,
"Compagnie francaise d'assurance pour le commerce exterieur SA Niederlassung Austria","Versicherung","Marxergasse 4c",1030,"Wien","Österreich",,,,,,
"Credendo - Single Risk Insurance AG","Versicherung","Wohllebeng. 4",1040,"Wien","Österreich",,"+4315052896","+4315052896",,,
"D.A.S. Rechtsschutz AG","Versicherung","Hernalser Gürtel 17",1170,"Wien","Österreich",,"+43140464","+4314082133",,,
"DONAU Versicherung AG Vienna Insurance Group","Versicherung","Schottenring 15",1010,"Wien","Österreich",,"+43131311","+4313107751",,,
"ERGO Versicherung Aktiengesellschaft","Versicherung","ERGO Center Business Park Marximum/ Objekt 3 Modecenterstraße 17",1110,"Wien","Österreich",,"+43131341","+4313134124",,,
"Europäische Reiseversicherung Aktiengesellschaft","Versicherung","Kratochwjlestraße 4",1220,"Wien","Österreich",,"+4313172500","+4313172500",,,
"FWU Life Insurance Austria AG","Versicherung","Rivergate, Handelskai 92, Gate 2, 4.OG",1200,"Wien","Österreich",,"+43153664",,,,
"GARANTA Versicherungs-AG Österreich","Versicherung","Moserstraße 33",5020,"Salzburg","Österreich",,"+436624487",,,,
"General Reinsurance AG Vienna Branch","Versicherung","Wächtergasse 1",1010,"Wien","Österreich",,"+43153686",,,,
"Generali Holding Vienna AG","Versicherung","Landskrong. 1-3",1010,"Wien","Österreich",,"+43153401","+4315340122",,,
"Generali Versicherung AG","Versicherung","Landskrongasse 1-3",1010,"Wien","Österreich",,"+43153401","+4315340122",,,
"Grazer Wechselseitige Versicherung Aktiengesellschaft","Versicherung","Herreng. 18-20",8010,"Graz","Österreich",,"+433168037","+433168037414",,,
"HDI Lebensversicherung AG Direktion für Österreich","Versicherung","Dresdner Straße 91, 3. OG",1200,"Wien","Österreich",,"+43159913",,,,
"HDI Versicherung AG","Versicherung","Edelsinnstraße 7-11",1120,"Wien","Österreich",,"+43181132","+4318113234",,,
"Helvetia Schweizerische Versicherungsgesellschaft AG Direktion für Österreich","Versicherung","Jasomirgottstr. 2",1010,"Wien","Österreich",,"+4315338155","+4315356391",,,
"Helvetia Versicherungen AG","Versicherung","Hoher Markt 10-11",1010,"Wien","Österreich",,"+43153474","+4315347434",,,
"HYPO-VERSICHERUNG AKTIENGESELLSCHAFT","Versicherung","Jungferngasse 10",8010,"Graz","Österreich",,"+4318124860","+4318124860",,,
"Kärntner Landesversicherung auf Gegenseitigkeit","Versicherung","Domgasse 21",9020,"Klagenfurt","Österreich",,"+434635818","+434635818200",,,
"Merkur Versicherung Aktiengesellschaft","Versicherung","Joanneumring 22",8010,"Graz","Österreich",,"+433168034","+433168034534",,,
"Niederösterreichische Versicherung AG","Versicherung","Neue Herrengasse 10",3100,"St. Pölten","Österreich",,"+43131370","+4313137039",,,
"NÜRNBERGER Versicherung Aktiengesellschaft Österreich","Versicherung","Moserstraße 33",5020,"Salzburg","Österreich",,"+436624487","+436624487350",,,
"Oberösterreichische Versicherung Aktiengesellschaft","Versicherung","Gruberstr. 32",4020,"Linz","Österreich",,"+437327891","+437327891566",,,
"Österreichische Beamtenversicherung, Versicherungsverein auf Gegenseitigkeit","Versicherung","Grillparzerstr. 11",1016,"Wien","Österreich",,"+43140120","+4314012010",,,
"Österreichische Hagelversicherung-Versicherungsverein auf Gegenseitigkeit","Versicherung","Lercheng. 3-5",1081,"Wien","Österreich",,"+4314031681","+4314031681",,,
"Porsche Versicherungs Aktiengesellschaft","Versicherung","Vogelweiderstraße 75",5020,"Salzburg","Österreich",,"+436624683","+436624683802",,,
"SK Versicherung Aktiengesellschaft","Versicherung","Bräuhausg. 7-9",1050,"Wien","Österreich",,"+4312161561","+4312163369",,,
"Sparkassen Versicherung AG Vienna Insurance Group","Versicherung","Wipplingerstr. 36-38",1010,"Wien","Österreich",,"+43131381","+4313138130",,,
"TIROLER VERSICHERUNG V.a.G.","Versicherung","Wilhelm-Greil-Straße 10",6020,"Innsbruck","Österreich",,"+435125313","+435125313299",,,
"UNIQA Insurance Group AG","Versicherung","Untere Donaustraße 21",1029,"Wien","Österreich",,"+43121111","+4312143336",,,
