"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Homepage","Tel","Fax","Datenquelle","Pruefung"
1,"Berufsschule der SPAR AG","Berufsschule der SPAR österreichische Warenhandels-AG - Private Spar Akademie Wien","Bildung","Berufsschule","Hietzinger Hauptstraße 17",1130,"spar.akademie@spar.at",,"+43187712565",,,"25.08.2020"
2,"Berufsschule für Baugewerbe","Berufsschule für Baugewerbe","Bildung","Berufsschule","Wagramer Straße 65",1220,"office.922015@schule.wien.gv.at",,"+4315991696070","'+4315991696080",,"25.08.2020"
3,"Berufsschule für Bürokaufleute","Berufsschule für Bürokaufleute","Bildung","Berufsschule","Meiselstraße 19",1150,"office@bsbk.at",,"+4315991696011","'+431599169996010",,"25.08.2020"
4,"Berufsschule für Chemie, Grafik und gestaltende Berufe","Berufsschule für Chemie, Grafik und gestaltende Berufe","Bildung","Berufsschule","Hütteldorfer Straße 7-17",1150,"kontakt@cgg.at",,"+4315991695212","'+431599169995211",,"25.08.2020"
5,"Berufsschule für Einzelhandel","Berufsschule für Einzelhandel","Bildung","Berufsschule","Amalienstraße 31-33",1130,"office.913025@schule.wien.gv.at",,"+4315991695041","'+431599169995049",,"25.08.2020"
6,"Berufsschule für Elektro-, Veranstaltungs- und Informationstechnik Austria","Berufsschule für Elektro-, Veranstaltungs- und Informationstechnik Austria","Bildung","Berufsschule","Mollardgasse 87",1060,"office@bsevita.at",,"+4315991695630","'+431599167256",,"25.08.2020"
7,"Berufsschule für Elektrotechnik und Mechatronik","Berufsschule für Elektrotechnik und Mechatronik","Bildung","Berufsschule","Mollardgasse 87",1060,"office.906065@schule.wien.gv.at",,"+4315991695660","'+431599169995660",,"25.08.2020"
8,"Berufsschule für Fahrzeugtechnik","Berufsschule für Fahrzeugtechnik","Bildung","Berufsschule","Scheydgasse 40",1210,"office.921015@schule.wien.gv.at",,"+4315991695735","'+431599169995735",,"25.08.2020"
9,"Berufsschule für Gartenbau und Floristik","Berufsschule für Gartenbau und Floristik","Bildung","Berufsschule","Donizettiweg 31",1220,"office.922025@schule.wien.gv.at",,"+4315991695860","'+431599169995860",,"25.08.2020"
10,"Berufsschule für Gastgewerbe","Berufsschule für Gastgewerbe","Bildung","Berufsschule","Längenfeldgasse 13-15",1120,"office.912045@schule.wien.gv.at",,"+4315991695353","'+431599167956",,"25.08.2020"
11,"Berufsschule für Handel und Reisen","Berufsschule für Handel und Reisen","Bildung","Berufsschule","Hütteldorfer Straße 7-17",1150,"office.915075@schule.wien.gv.at",,"+4315991695222","'+431599169995222",,"25.08.2020"
12,"Berufsschule für Holz, Klang, Farbe und Lack","Berufsschule für Holz, Klang, Farbe und Lack","Bildung","Berufsschule","Hütteldorfer Straße 7-17",1150,"office.915045@schule.wien.gv.at",,"+4315991695262","'+431599169995261",,"25.08.2020"
13,"Berufsschule für Industrie, Finanzen und Transport","Berufsschule für Industrie, Finanzen und Transport","Bildung","Berufsschule","Längenfeldgasse 13-15",1120,"office.912065@schule.wien.gv.at",,"+4315991695360","'+431599169995360",,"25.08.2020"
14,"Berufsschule für Lebensmittel, Touristik und Zahntechnik","Berufsschule für Lebensmittel, Touristik und Zahntechnik","Bildung","Berufsschule","Längenfeldgasse 13-15",1120,"direktion@bsltz.at",,"+4315991695341","'+431599169995340",,"25.08.2020"
15,"Berufsschule für Maschinen-, Fertigungstechnik und Elektronik","Berufsschule für Maschinen-, Fertigungstechnik und Elektronik","Bildung","Berufsschule","Apollogasse 1",1070,"office@bs-mfe.at",,"+4315991695561","'+431599169995561",,"25.08.2020"
16,"Berufsschule für Metalltechnik, Glasbautechnik und Technische Zeichner","Berufsschule für Metalltechnik, Glasbautechnik und Technische Zeichner","Bildung","Berufsschule","Mollardgasse 87",1060,"office.906125@schule.wien.gv.at",,"+4315991695620","'+431599169995620",,"25.08.2020"
17,"Berufsschule für Reinigungstechnik","Berufsschule für Reinigungstechnik der Gebäudereinigungsakademie der Wiener Gebäudereiniger SchulungsGmbH","Bildung","Berufsschule","Eduard-Kittenberger-Gasse 56, Objekt 8/1+1A",1230,"office@grag.at",,"+4318655505",,,"25.08.2020"
18,"Berufsschule für Sanitär-, Heizungs- und Klimatechnik","Berufsschule für Sanitär-, Heizungs- und Klimatechnik","Bildung","Berufsschule","Mollardgasse 87",1060,"direktion@sht-wien.com",,"+4315991695670","'+431599169995670",,"25.08.2020"
19,"Berufsschule für Schönheitsberufe","Berufsschule für Schönheitsberufe","Bildung","Berufsschule","Goldschlagstraße 137",1140,"office.914015@schule.wien.gv.at",,"+4315991695805","'+431599169995800",,"25.08.2020"
20,"Berufsschule für Verwaltungsberufe","Berufsschule für Verwaltungsberufe","Bildung","Berufsschule","Embelgasse 46",1050,"christian.sevcik@bildung-wien.gv.at",,"+4315991695931","'+431599169995935",,"25.08.2020"
