"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Homepage","Tel","Fax","Datenquelle","Pruefung"
1,"MA 01 - Wien Digital","Magistratsabteilung 01 - Wien Digital","Landesbehörde","Administration","Stadlauer Straße 54-56",1220,"post@ma01.wien.gv.at",,,"+43140009971019",,"19.08.2020"
2,"MA 10 - Kindergärten","Magistratsabteilung 10 - Kindergärten","Landesbehörde","Administration","Thomas-Klestil-Platz 11",1030,"post@ma10.wien.gv.at",,"+431400090309","+43140009990248",,"19.08.2020"
3,"MA 11 - Kinder- und Jugendhilfe","Magistratsabteilung 11 - Kinder- und Jugendhilfe","Landesbehörde","Administration","Rüdengasse 11",1030,"post@ma11.wien.gv.at",,"+43140008011","+43140009990619",,"19.08.2020"
4,"MA 13 - Bildung und Jugend","Magistratsabteilung 13 - Bildung und Jugend","Landesbehörde","Administration","Friedrich-Schmidt-Platz 5",1080,"post@ma13.wien.gv.at",,"+431400084329","+43140009984328",,"19.08.2020"
5,"MA 15 - Gesundheitsdienst","Magistratsabteilung 15 - Gesundheitsdienst","Landesbehörde","Administration","Thomas-Klestil-Platz 8",1030,"post@ma15.wien.gv.at",,"+43140008015","+43140009987960",,"19.08.2020"
6,"MA 17 - Integration und Diversität","Magistratsabteilung 17 - Integration und Diversität","Landesbehörde","Administration","Friedrich-Schmidt-Platz 3",1080,"post@ma17.wien.gv.at",,"+431400081523","+43140009981523",,"19.08.2020"
7,"MA 18 - Stadtentwicklung und Stadtplanung","Magistratsabteilung 18 - Stadtentwicklung und Stadtplanung","Landesbehörde","Administration","Rathausstraße 14-16",1082,"post@ma18.wien.gv.at",,"+43140008018","+4314000998018",,"19.08.2020"
8,"MA 19 - Architektur und Stadtgestaltung","Magistratsabteilung 19 - Architektur und Stadtgestaltung","Landesbehörde","Administration","Niederhofstraße 21-23",1120,"post@ma19.wien.gv.at",,"+4318111488916","+43140009988910",,"19.08.2020"
9,"MA 2 - Personalservice","Magistratsabteilung 2 - Personalservice","Landesbehörde","Administration","Rathausstraße 4",1010,"post@ma02.wien.gv.at",,"+431400094020","+43140009994029",,"19.08.2020"
10,"MA 20 - Energieplanung","Magistratsabteilung 20 - Energieplanung","Landesbehörde","Administration","Rathausstraße 14-16",1010,"post@ma20.wien.gv.at",,"+431400088305","+431400088304",,"19.08.2020"
