"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Homepage","Tel","Fax","Datenquelle","Pruefung"
1,"AK Bild","Akademie der bildenden Künste Wien","Bildung","Universität","Schillerplatz 3",1010,"datenschutz@akbild.ac.at",,"'+431588160",,,"23.08.2020"
2,"Die Angewandte","Universität für angewandte Kunst Wien","Bildung","Universität","Oskar-Kokoschka-Platz 2",1010,"info@uni-ak.ac.at",,"'+431711332160",,,"23.08.2020"
3,"MedUni Wien","Medizinische Universität Wien","Bildung","Universität","Spitalgasse 23",1090,"buero-universitaetsleitung@meduniwien.ac.at",,"‘+431401600","‘+43140160910000",,"23.08.2020"
4,"MDW","Universität für Musik und darstellende Kunst Wien","Bildung","Universität","Anton-von-Webern-Platz 1",1030,"datenschutz@mdw.ac.at",,"'+43171155","+43171155199",,"23.08.2020"
5,"TU Wien","Technische Universität Wien","Bildung","Universität","Karlsplatz 13",1040,"datenschutz@tuwien.ac.at",,"'+431588010","'+4315880141275",,"23.08.2020"
6,"BOKU","Universität für Bodenkultur Wien","Bildung","Universität","Gregor-Mendel-Straße 33",1180,"datenschutz@boku.ac.at",,"'+431476540",,,"23.08.2020"
7,"Uni Wien","Universität Wien","Bildung","Universität","Universitätsring 1",1010,"dsba@univie.ac.at",,"'+43142770",,,"24.08.2020"
8,"Vetmeduni Vienna","Veterinärmedizinische Universität Wien","Bildung","Universität","Veterinärplatz 1",1210,"datenschutz@vetmeduni.ac.at",,"'+431250771097","+431250771090",,"24.08.2020"
9,"WU Wien","Wirtschaftsuniversität Wien","Bildung","Universität","Welthandelsplatz 1, AD",1020,"datenschutz@wu.ac.at",,"'+431313360",,,"24.08.2020"
10,"CEU","Central European University ","Bildung","Privatuniversität","Quellenstraße 51-55",1100,"communications_office@ceu.edu",,"+3613273000",,,"24.08.2020"
11,"Jam Music Lab","JAM MUSIC LAB GmbH","Bildung","Privatuniversität","Guglgasse 12, Gasometer C 37-37",1110,"office@jammusiclab.com",,"'+4319466846",,,"24.08.2020"
12,"SFU","Sigmund Freud Privatuniversität Wien","Bildung","Privatuniversität","Freudplatz 1",1020,"rektorat@sfu.ac.at",,"'+4317984098",,,"24.08.2020"
13,"Modul University Vienna","Modul University Vienna GmbH","Bildung","Privatuniversität","Am Kahlenberg 1",1190,"office@modul.ac.at",,"'+4313203555","'+4313203555902",,"24.08.2020"
14,"MUK","Musik und Kunst Privatuniversität der Stadt Wien GmbH","Bildung","Privatuniversität","Johannesgasse 4a",1010,"office@muk.ac.at",,"'+4315127747","'+43151277477913",,"24.08.2020"
15,"Webster Vienna Private University","Webster Vienna Private University","Bildung","Privatuniversität","Praterstrasse 23",1020,"info@webster.ac.at",,"'+43126992930",,,"24.08.2020"
16,"FH des bfi Wien","Fachhochschule des BFI Wien Ges.m.b.H.","Bildung","Fachhochschule","Wohlmutstraße 22",1020,"info@fh-vie.ac.at",,"+4317201286","+431720128619",,"24.08.2020"
17,"Fachhochschule Technikum Wien","Fachhochschule Technikum Wien","Bildung","Fachhochschule","Höchstädtplatz 6",1200,"info@technikum-wien.at",,"+43133340770",,,"24.08.2020"
18,"FH Campus Wien","FH Campus Wien","Bildung","Fachhochschule","Favoritenstraße 226",1100,"office@fh-campuswien.ac.at",,"+43160668776600","+43160668776609",,"24.08.2020"
19,"FHWien","FHWien der WKW","Bildung","Fachhochschule","Währinger Gürtel 97",1180,"servicepoint@fh-wien.ac.at",,"+431476775744","+431476775745",,"24.08.2020"
20,"LBS","Lauder Business School","Bildung","Fachhochschul-Einrichtung","Hofzeile 18-20",1190,"office@lbs.ac.at",,"+4313691818",,,"24.08.2020"
21,"PH Wien","Pädagogische Hochschule Wien","Bildung","Pädagogische Hochschule","Grenzackerstraße 18",1100,"office@phwien.ac.at",,"+43160118",,,"24.08.2020"
22,"KPH Wien/Krems","Kirchliche Pädagogische Hochschule Wien/Krems","Bildung","Pädagogische Hochschule","Mayerweckstraße 1",1210,"datenschutz@kphvie.ac.at",,"+431291080","+43129108402",,"24.08.2020"
23,"HAUP","Hochschule für Agrar- und Umweltpädagogik","Bildung","Pädagogische Hochschule","Angermayergasse 1",1130,"info@haup.ac.at",,"+43187722660","+4318772361",,"24.08.2020"
24,"Jüdische Pädagogische Akademie","Jüdische Pädagogische Akademie","Bildung","Pädagogische Hochschule","Rabbiner Schneerson Platz 1",1020,"info@lauderchabad.at",,"+4313341818","+431334181818",,"24.08.2020"
25,"Agentur für Qualitätssicherung und Akkreditierung Austria","Agentur für Qualitätssicherung und Akkreditierung Austria","Bildung","Behörde","Franz-Klein-Gasse 5",1190,"office@aq.ac.at",,"+43153202200","+431532022099",,"24.08.2020"
