"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","Land","E-Mail","Tel","Fax","Pruefung"
1,"VHS Großfeldsiedlung","Volkshochschule Großfeldsiedlung","Bildung","Schule","Kürschnergasse 9",1210,"Österreich","grossfeldsiedlung@vhs.at","+43189174121005",,"25.08.2020"
2,"VHS Floridsdorf Pitkagasse","Volkshochschule Floridsdorf Pitkagasse","Bildung","Schule","Pitkagasse 3",1210,"Österreich","pitkagasse@vhs.at","+43189174121001",,"25.08.2020"
3,"VHS Donaustadt","Volkshochschule Donaustadt","Bildung","Schule","Bernoullistraße 1",1220,"Österreich","donaustadt@vhs.at","+43189174122000",,"25.08.2020"
4,"VHS Eibengasse","Volkshochschule Eibengasse","Bildung","Schule","Eibengasse 57",1220,"Österreich","eibengasse@vhs.at","+43189174122001",,"25.08.2020"
5,"VHS Liesing","Volkshochschule Liesing","Bildung","Schule","Liesinger Platz 2",1230,"Österreich","liesing@vhs.at","+43189174123000",,"25.08.2020"
6,"VHS Erlaa","Volkshochschule Erlaa","Bildung","Schule","Putzendoplergasse 4",1230,"Österreich","erlaa@vhs.at","+43189174123002",,"25.08.2020"
7,"VHS BG Alt-Erlaa","Volkshochschule BG Alt-Erlaa","Bildung","Schule","Anton-Baumgartner-Straße 123",1230,"Österreich","markus.rauscher@vhs.at","+43189174123003",,"25.08.2020"
8,"VHS Mauer","Volkshochschule Mauer","Bildung","Schule","Speisingerstraße 256",1230,"Österreich","mauer@vhs.at","+43189174123001",,"25.08.2020"
9,"Urania Sternwarte","Urania Sternwarte","Bildung","Schule","Uraniastraße 1",1010,"Österreich","sternwarten@vhs.at","+43189174150000",,"25.08.2020"
10,"Planetarium Wien","Planetarium Wien","Bildung","Schule","Oswald-Thomas-Platz 1",1020,"Österreich","sternwarten@vhs.at","+43189174150000",,"25.08.2020"
11,"Kuffner Sternwarte","Kuffner Sternwarte","Bildung","Schule","Johann-Staud-Straße 10",1160,"Österreich","sternwarten@vhs.at","+43189174150000",,"25.08.2020"
12,"""die umweltberatung"" Wien","""die umweltberatung"" Wien","Bildung","Schule","Buchengasse 77/4. Stock",1100,"Österreich","service@umweltberatung.at","+43180332320",,"25.08.2020"
13,"D.R.Z  Demontage- und Recycling-Zentrum","D.R.Z  Demontage- und Recycling-Zentrum","Bildung","Schule","Vogtgasse 29",1140,"Österreich","drz@vhs.at","+43189174155000",,"25.08.2020"
14,"Jüdisches Institut für Erwachsenenbildung","Jüdisches Institut für Erwachsenenbildung","Bildung","Schule","Praterstern 1",1020,"Österreich","jife@vhs.at","+43189174153000",,"25.08.2020"
15,"Österreichisches Volkshochschularchiv","Österreichisches Volkshochschularchiv","Bildung","Schule","Kürschnergasse 9",1210,"Österreich","archiv@vhs.at","+43189174156000",,"25.08.2020"
16,"VHS Heiligenstadt","Volkshochschule Heiligenstadt","Bildung","Schule","Heiligenstädter Straße 155",1190,"Österreich","heiligenstadt@vhs.at","+43189174109100",,"25.08.2020"
17,"VHS Favoriten","Volkshochschule Favoriten","Bildung","Schule","Arthaberplatz 18",1100,"Österreich","favoriten@vhs.at","+43189174110000",,"25.08.2020"
18,"VHS PAHO","Volkshochschule PAHO","Bildung","Schule","Ada-Christen-Gasse 2/B",1100,"Österreich","paho@vhs.at","+43189174110001",,"25.08.2020"
19,"VHS Leberberg","Volkshochschule Leberberg","Bildung","Schule","Rosa-Jochmann-Ring 5/2",1110,"Österreich","simmering@vhs.at","+43189174111001",,"25.08.2020"
20,"VHS Meidling","Volkshochschule Meidling","Bildung","Schule","Längenfeldgasse 13-15",1120,"Österreich","meidling@vhs.at","+43189174112000",,"25.08.2020"
21,"VHS Schönbrunner Straße","Volkshochschule Schönbrunner Straße","Bildung","Schule","Schönbrunner Straße 213-215/1",1120,"Österreich","schoenbrunnerstrasse@vhs.at","+43189174112001",,"25.08.2020"
22,"VHS Hietzing","Volkshochschule Hietzing","Bildung","Schule","Hofwiesengasse 48",1130,"Österreich","hietzing@vhs.at","+43189174113000",,"25.08.2020"
23,"VHS Penzing","Volkshochschule Penzing","Bildung","Schule","Hütteldorfer Straße 112",1140,"Österreich","penzing@vhs.at","+43189174114000",,"25.08.2020"
24,"VHS Rudolfsheim-Fünfhaus","Volkshochschule Rudolfsheim-Fünfhaus","Bildung","Schule","Schwendergasse 41",1150,"Österreich","office.rudolfsheim@vhs.at","+43189174115000",,"25.08.2020"
25,"VHS Ottakring","Volkshochschule Ottakring","Bildung","Schule","Ludo-Hartmann-Platz 7",1160,"Österreich","ottakring@vhs.at","+43189174116000",,"25.08.2020"
26,"VHS Hernals","Volkshochschule Hernals","Bildung","Schule","Rötzergasse 15",1170,"Österreich","hernals@vhs.at","+43189174117000",,"25.08.2020"
27,"VHS Brigittenau","Volkshochschule Brigittenau","Bildung","Schule","Raffaelgasse 11-13",1200,"Österreich","brigittenau@vhs.at","+43189174120000",,"25.08.2020"
28,"VHS Floridsdorf","Volkshochschule Floridsdorf","Bildung","Schule","Angerer Straße 14",1210,"Österreich","floridsdorf@vhs.at","+43189174121000",,"25.08.2020"
29,"VHS Neu-Stammersdorf","Volkshochschule Neu-Stammersdorf","Bildung","Schule","Brünner Straße 219",1210,"Österreich","neustammersdorf@vhs.at","+43189174121004",,"25.08.2020"
30,"VHS Großjedlersdorf","Volkshochschule Großjedlersdorf","Bildung","Schule","Siemensstraße 17",1210,"Österreich","grossjedlersdorf@vhs.at","+43189174121006",,"25.08.2020"
31,"IKH Institut für Kindergarten- und Hortpädagogik","IKH Institut für Kindergarten- und Hortpädagogik","Bildung","Schule","Raffaelgasse 11-13",1220,"Österreich","brigittenau@vhs.at","+43189174120000",,"25.08.2020"
32,"VHS KunstHandWerk","Volkshochschule KunstHandWerk","Bildung","Schule","Schlossgasse 23",1050,"Österreich","polycollege@vhs.at","+43189174105000",,"25.08.2020"
33,"Film und Medien Zentrum Margareten","Film und Medien Zentrum Margareten","Bildung","Schule","Johannagasse 2",1050,"Österreich","medienzentrum@vhs.at","+43189174105002",,"25.08.2020"
34,"VHS Simmering","Volkshochschule Simmering","Bildung","Schule","Gottschalkgasse 10",1110,"Österreich","simmering@vhs.at","+43189174111000",,"25.08.2020"
35,"VHS Urania","Volkshochschule Urania","Bildung","Schule","Uraniastraße 1",1010,"Österreich","urania@vhs.at","+43189174101000",,"25.08.2020"
36,"VHS Landstraße","Volkshochschule Landstraße","Bildung","Schule","Hainburgerstraße 29",1030,"Österreich","landstrasse@vhs.at","+43189174103000",,"25.08.2020"
37,"VHS polycollege Margareten - Wieden","Volkshochschule polycollege Margareten - Wieden","Bildung","Schule","Stöbergasse 11-15",1050,"Österreich","polycollege@vhs.at","+43189174105000",,"25.08.2020"
38,"VHS polycollege Siebenbrunnengasse","Volkshochschule polycollege Siebenbrunnengasse","Bildung","Schule","Siebenbrunnengasse 37",1050,"Österreich","siebenbrunnengasse@vhs.at","+43189174105001",,"25.08.2020"
39,"VHS polycollege Johannagasse","Volkshochschule polycollege Johannagasse","Bildung","Schule","Johannagasse 2",1050,"Österreich","johannagasse@vhs.at","+43189174105002",,"25.08.2020"
40,"VHS polycollege Wieden","Volkshochschule polycollege Wieden","Bildung","Schule","Danhausergasse 1",1040,"Österreich","wieden@vhs.at","+43189174105003",,"25.08.2020"
41,"VHS polycollege Schlossgasse","Volkshochschule polycollege Schlossgasse","Bildung","Schule","Schlossgasse 23",1050,"Österreich","schlossgasse@vhs.at","+43189174105004",,"25.08.2020"
42,"VHS Mriahilf","Volkshochschule Mriahilf","Bildung","Schule","Damböckgasse 4",1060,"Österreich","mariahilf@vhs.at","+43189174106000",,"25.08.2020"
43,"VHS Josefstadt","Volkshochschule Josefstadt","Bildung","Schule","Schmidgasse 18",1080,"Österreich","josefstadt@vhs.at","+43189174106001",,"25.08.2020"
44,"Die Kunst VHS","Die Kunst Volkshochschule","Bildung","Schule","Lazarettgasse 27",1090,"Österreich","kvh@vhs.at","+43189174154000",,"25.08.2020"
45,"VHS Alsergrund","Volkshochschule Alsergrund","Bildung","Schule","Galileigasse 8",1090,"Österreich","alsergrund@vhs.at","+43189174109000",,"25.08.2020"
46,"VHS Döbling","Volkshochschule Döbling","Bildung","Schule","Gatterburggasse 2a",1190,"Österreich","doebling@vhs.at","+43189174109002",,"25.08.2020"
