"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Tel","Fax","Pruefung"
1,"Obdach Wien","Obdach Wien gemeinnützige GmbH","Sozialleistungen","Dienstleister","Guglgasse 7-9",1030,"obdach.wien@fsw.at","+4350537940010",,"19.08.2020"
2,"AWZ Soziales Wien","AWZ Soziales Wien GmbH","Sozialleistungen","Dienstleister","Schlachthausgasse 37",1030,"office@awz-wien.at","+4350537970140",,"19.08.2020"
3,"Fonds Soziales Wien","Fonds Soziales Wien","Sozialleistungen","Dienstleister","Guglgasse 7-9",1030,"post@fsw.at","+43505379","+435053798910099","19.08.2020"
4,"FSW - Wiener Pflege- und Betreuungsdienste","FSW - Wiener Pflege- und Betreuungsdienste GmbH - Mobile Hauskrankenpflege - Fonds Soziales Wien (FSW)","Sozialleistungen","Dienstleister","Guglgasse 7-9 / Stiege A / 2. Stock",1030,"mob.hkp.ak@fsw.at","+4312452430300",,"19.08.2020"
5,"Sucht- und Drogenkoordination Wien","Sucht- und Drogenkoordination Wien gemeinnützige GmbH","Sozialleistungen","Dienstleister","Modecenterstraße 14/A/2",1030,"office@sd-wien.at","+431400087375","+431400087340","19.08.2020"
6,"Suchthilfe Wien","Suchthilfe Wien gemeinnützige GmbH","Sozialleistungen","Dienstleister","Gumpendorfer Gürtel 8",1080,"office@suchthilfe.at","+431400053600","+431400053699","19.08.2020"
7,"Vereinigte Bühnen Wien","Vereinigte Bühnen Wien Ges.m.b.H.","Kultur","Museen / Theater","Linke Wienzeile 6",1060,"info@vbw.at","+431588301010","+43158830991010","19.08.2020"
8,"Wiener Gesundheitsfonds","Wiener Gesundheitsfonds","Gesundheit","Dienstleister","Brigittenauer Lände 50-54",1200,"wiener.gesundheitsfonds@wien.gv.at","+431400084200","+43140009984200","19.08.2020"
9,"Wiener Gesundheitsförderung","Wiener Gesundheitsförderung gemeinnützige GmbH","Gesundheit","Dienstleister","Treustraße 35 – 43",1200,"office@wig.or.at","+431400076905","+4340009976905","19.08.2020"
10,"Wiener Gesundheitsverbund","Stadt Wien – Wiener Gesundheitsverbund","Gesundheit","Dienstleister","Thomas-Klestil-Platz 7/1",1030,"journaldienst@gesundheitsverbund.at","+431404090 ","+431404099967480","19.08.2020"
11,"Wirtschaftsagentur Wien","Wirtschaftsagentur Wien. Ein Fonds der Stadt Wien.","Interessensvertretung","Dienstleister","Mariahilfer Straße 20",1070,"info@wirtschaftsagentur.at","+43125200","+43125200153","19.08.2020"
12,"Bestattung Wien","Bestattung Wien GmbH","Infrastruktur","Dienstleister","Simmeringer Hauptstrasse 339",1110,"office@bestattungwien.at","+431501950","+4315019528509","19.08.2020"
13,"Friedhöfe Wien","Friedhöfe Wien GmbH","Infrastruktur","Dienstleister","Simmeringer Hauptstrasse 339",1110,"post@friedhoefewien.at","+431534690",,"19.08.2020"
14,"Wiener Wohnen","Stadt Wien - Wiener Wohnen","Sozialleistungen","Dienstleister","Rosa-Fischer-Gasse 2",1030,"post@wrw.wien.gv.at","+435757575",,"19.08.2020"
15,"Wien Kanal","Wien Kanal (WKN)","Infrastruktur","Dienstleister","Modecenterstraße 14, Block C",1030,"post@wkn.wien.gv.at","+43140008030",,"19.08.2020"
16,"W24","WH Media GmbH","Infrastruktur","Dienstleister","Renngasse 5 / Top 4",1010,"office@w24.at","+4313683424",,"19.08.2020"
17,"Wien Energie","Wien Energie GmbH","Infrastruktur","Dienstleister","Thomas-Klestil-Platz 14",1030,"office@wienenergie.at","+43140040",,"19.08.2020"
18,"Wien Holding","Wien Holding GmbH","Infrastruktur","Dienstleister","Universitätsstraße 11",1010,"office@wienholding.at","+43140825690","+431408256937","19.08.2020"
19,"Wiener Stadtwerke","WIENER STADTWERKE GMBH","Infrastruktur","Dienstleister","Thomas-Klestil-Platz 13",1030,"contact@wienerstadtwerke.at","+431531230",,"19.08.2020"
20,"WienIT","WienIT EDV Dienstleistungsgesellschaft mbH & Co KG","Infrastruktur","Dienstleister","Thomas-Klestil-Platz 13",1030,"office@wienit.at","+435904050",,"19.08.2020"
21,"WIPARK","WIPARK Garagen GmbH","Infrastruktur","Dienstleister","Thomas-Klestil-Platz 13",1030,"office@wipark.at","+4316003022","+431600302248199","19.08.2020"
22,"Bildungsdirektion für Wien","Bildungsdirektion für Wien","Bildung","Behörde","Wipplingerstraße 28",1010,"office@ssr-wien.gv.at","+431525250",,"19.08.2020"
23,"Landespolizeidirektion Wien","Landespolizeidirektion Wien","Infrastruktur","Polizei","Schottenring 7-9",1010,"LPD-W@polizei.gv.at","+431313100","+4313131072119","19.08.2020"
24,"AKH Wien","Allgemeines Krankenhaus der Stadt Wien","Gesundheit","Krankenhaus","Währinger Gürtel 18-20",1090,"postakhint@akhwien.at","+431404000","+4314040912120","19.08.2020"
25,"Klinik Landstraße","Klinik Landstraße","Gesundheit","Krankenhaus","Juchgasse 25",1030,"kla.post@gesundheitsverbund.at","+43171165","+431711651009","19.08.2020"
26,"Klinik Hietzing","Klinik Hietzing","Gesundheit","Krankenhaus","Wolkersbergenstraße 1",1130,"journaldienst@gesundheitsverbund.at","+431801100",,"19.08.2020"
27,"Klinik Penzing","Klinik Penzing","Gesundheit","Krankenhaus","Baumgartner Höhe 1",1140,"kpe@gesundheitsverbund.at","+431910600","+4319106011309","19.08.2020"
28,"SMZ Floridsdorf","Sozialmedizinisches Zentrum Floridsdorf","Gesundheit","Krankenhaus","Bentheimstraße 5",1210,"post.gzf@wienkav.at","+43127522","+431275228009","19.08.2020"
29,"Klinik Donaustadt","Klinik Donaustadt","Gesundheit","Krankenhaus","Langobardenstraße 122",1220,"journaldienst@gesundheitsverbund.at","+431288020","+431288022050","19.08.2020"
30,"Klinik Favoriten","Klinik Favoriten","Gesundheit","Krankenhaus","Kundratstraße 3",1100,"journaldienst@gesundheitsverbund.at","+431601910",,"19.08.2020"
31,"Therapiezentrum Ybbs","Therapiezentrum Ybbs","Gesundheit","Krankenhaus","Persenbeugerstraße 1-3",3370,"journaldienst@gesundheitsverbund.at","+437412551000",,"19.08.2020"
32,"Wilhelminenspital","Wilhelminenspital","Gesundheit","Krankenhaus","Montleartstraße 37",1160,"journaldienst@gesundheitsverbund.at","+431491500",,"19.08.2020"
33,"Wirtschaftskammer Wien","Wirtschaftskammer Wien","Interessensvertretung","Kammer","Straße der Wiener Wirtschaft 1",1020,"info@wkw.at","+431514500",,"19.08.2020"
34,"Rechtanswaltskammer Wien","Rechtanswaltskammer Wien","Interessensvertretung","Kammer","Ertlgasse 2",1010,"kanzlei@rakwien.at","+43153327180","+431533271844","18.08.2020"
35,"Landeszahnärztekammer Wien","Landeszahnärztekammer Wien","Interessensvertretung","Kammer","Kohlmarkt 11/6",1010,"office@wr.zahnaerztekammer.at","+43505111000","+43505111014","18.08.2020"
36,"Notariatskammer für Wien, Niederösterreich und Burgenland","Notariatskammer für Wien, Niederösterreich und Burgenland ","Interessensvertretung","Kammer","Landesgerichtsstraße 20",1010,"kammer-wnb@notar.or.at","+43140245090","+4314063475","18.08.2020"
37,"Ärztekammer Wien","Ärztekammer Wien","Interessensvertretung","Kammer","Weihburggasse 10-12",1010,"aekwien@aekwien.at","+431515010","+431515011209","18.08.2020"
38,"Apothekerkammer Wien","Apothekerkammer Wien","Interessensvertretung","Kammer","Spitalgasse 31",1091,"wien@apothekerkammer.at","+43140414152","+4314088283","18.08.2020"
39,"Arbeiterkammer Wien","Kammer für Arbeiter und Angestellte für Wien","Interessensvertretung","Kammer","Prinz-Eugen-Straße 20-22",1040,"akmailbox@akwien.at","'+43150165-0",,"18.08.2020"
40,"Kammer der Steuerberater und Wirtschaftsprüfer Wien","Kammer der Steuerberater und Wirtschaftsprüfer Wien","Interessensvertretung","Kammer","Schönbrunnerstraße 222-228/1/6/2",1120,"office@ksw.or.at","+431811730","+43181173100","18.08.2020"
41,"Kammer der ZiviltechnikerInnen für Wien, Niederösterreich und Burgenland","Kammer der ZiviltechnikerInnen für Wien, Niederösterreich und Burgenland","Interessensvertretung","Kammer","Karlsgasse 9/1",1040,"kammer@arching.at","+4315051781","+4315051005","18.08.2020"
42,"Klinik Floridsdorf","Klinik Floridsdorf","Gesundheit","Krankenhaus","Brünner Straße 68",1210,"journaldienst@gesundheitsverbund.at","+431277000",,"20.08.2020"
