"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","Land","E-Mail","Tel","Fax","Pruefung"
1,"Magistratsabteilung 01 - Wien Digital","Magistratsabteilung 01 - Wien Digital","Landesbehörde","Administration","Stadlauer Straße 54-56",1220,,"post@ma01.wien.gv.at",,"+43140009971019","19.08.2020"
2,"Magistratsabteilung 10 - Kindergärten","Magistratsabteilung 10 - Kindergärten","Landesbehörde","Administration","Thomas-Klestil-Platz 11",1030,,"post@ma10.wien.gv.at","+431400090309","+43140009990248","19.08.2020"
3,"Magistratsabteilung 11 - Kinder- und Jugendhilfe","Magistratsabteilung 11 - Kinder- und Jugendhilfe","Landesbehörde","Administration","Rüdengasse 11",1030,,"post@ma11.wien.gv.at","+43140008011","+43140009990619","19.08.2020"
4,"Magistratsabteilung 13 - Bildung und Jugend","Magistratsabteilung 13 - Bildung und Jugend","Landesbehörde","Administration","Friedrich-Schmidt-Platz 5",1080,,"post@ma13.wien.gv.at","+431400084329","+43140009984328","19.08.2020"
5,"Magistratsabteilung 15 - Gesundheitsdienst","Magistratsabteilung 15 - Gesundheitsdienst","Landesbehörde","Administration","Thomas-Klestil-Platz 8",1030,,"post@ma15.wien.gv.at","+43140008015","+43140009987960","19.08.2020"
6,"Magistratsabteilung 17 - Integration und Diversität","Magistratsabteilung 17 - Integration und Diversität","Landesbehörde","Administration","Friedrich-Schmidt-Platz 3",1080,,"post@ma17.wien.gv.at","+431400081523","+43140009981523","19.08.2020"
7,"Magistratsabteilung 18 - Stadtentwicklung und Stadtplanung","Magistratsabteilung 18 - Stadtentwicklung und Stadtplanung","Landesbehörde","Administration","Rathausstraße 14-16",1082,,"post@ma18.wien.gv.at","+43140008018","+4314000998018","19.08.2020"
8,"Magistratsabteilung 19 - Architektur und Stadtgestaltung","Magistratsabteilung 19 - Architektur und Stadtgestaltung","Landesbehörde","Administration","Niederhofstraße 21-23",1120,,"post@ma19.wien.gv.at","+4318111488916","+43140009988910","19.08.2020"
9,"Magistratsabteilung 2 - Personalservice","Magistratsabteilung 2 - Personalservice","Landesbehörde","Administration","Rathausstraße 4",1010,,"post@ma02.wien.gv.at","+431400094020","+43140009994029","19.08.2020"
10,"Magistratsabteilung 20 - Energieplanung","Magistratsabteilung 20 - Energieplanung","Landesbehörde","Administration","Rathausstraße 14-16",1010,,"post@ma20.wien.gv.at","+431400088305","+431400088304","19.08.2020"
11,"Magistratsabteilung 21 A - Stadtteilplanung und Flächenwidmung Innen-Südwest","Magistratsabteilung 21 A - Stadtteilplanung und Flächenwidmung Innen-Südwest","Landesbehörde","Administration","Rathausstraße 14-16",1010,,"post@ma21a.wien.gv.at","+431400088116","+43140009988116","19.08.2020"
12,"Magistratsabteilung 21 B - Stadtteilplanung und Flächenwidmung Nordost","Magistratsabteilung 21 B - Stadtteilplanung und Flächenwidmung Nordost","Landesbehörde","Administration","Rathausstraße 14-16",1010,,"post@ma21b.wien.gv.at","+431400088116","+43140009988116","19.08.2020"
13,"Magistratsabteilung 22 - Umweltschutz","Magistratsabteilung 22 - Umweltschutz","Landesbehörde","Administration","Dresdner Straße 45",1200,,"post@ma22.wien.gv.at",,"+43140009973415","19.08.2020"
14,"Magistratsabteilung 23 - Wirtschaft, Arbeit und Statistik","Magistratsabteilung 23 - Wirtschaft, Arbeit und Statistik","Landesbehörde","Administration","Meiereistraße 7",1020,,"post@ma23.wien.gv.at","+431400083057","+431400083050","19.08.2020"
15,"Magistratsabteilung 24 - Strategische Gesundheitsversorgung","Magistratsabteilung 24 - Strategische Gesundheitsversorgung","Landesbehörde","Administration","Brigittenauer Lände 50-54",1200,,"post@ma24.wien.gv.at","+431400084200","+43140009984200","19.08.2020"
16,"Magistratsabteilung 25 - Technische Stadterneuerung","Magistratsabteilung 25 - Technische Stadterneuerung","Landesbehörde","Administration","Maria-Restituta-Platz 1",1200,,"post@ma25.wien.gv.at","+43140008025","+4314000998025","19.08.2020"
17,"Magistratsabteilung 27 - Europäische Angelegenheiten","Magistratsabteilung 27 - Europäische Angelegenheiten","Landesbehörde","Administration","Friedrich-Schmidt-Platz 3",1080,,"post@ma27.wien.gv.at","+4314000","+43140009927027","19.08.2020"
18,"Magistratsabteilung 28 - Straßenverwaltung und Straßenbau","Magistratsabteilung 28 - Straßenverwaltung und Straßenbau","Landesbehörde","Administration","Lienfeldergasse 96",1170,,"post@ma28.wien.gv.at",,"+43140009949610","19.08.2020"
19,"Magistratsabteilung 29 - Brückenbau und Grundbau","Magistratsabteilung 29 - Brückenbau und Grundbau","Landesbehörde","Administration","Wilhelminenstraße 93",1160,,"post@ma29.wien.gv.at","+431400096915","+43140009996480","19.08.2020"
20,"Magistratsabteilung 3 - Bedienstetenschutz und berufliche Gesundheitsförde","Magistratsabteilung 3 - Bedienstetenschutz und berufliche Gesundheitsförde","Landesbehörde","Administration","Hermanngasse 24-26",1070,,"post@ma03.wien.gv.at","+431400075050","+43140009975050","19.08.2020"
21,"Magistratsabteilung 31 - Wiener Wasser","Magistratsabteilung 31 - Wiener Wasser","Landesbehörde","Administration","Grabnergasse 4-6",1060,,"post@ma31.wien.gv.at","+43159959","+431599599931326","19.08.2020"
22,"Magistratsabteilung 33 - Wien leuchtet","Magistratsabteilung 33 - Wien leuchtet","Landesbehörde","Administration","Senngasse 2",1110,,"post@ma33.wien.gv.at","+431400033011","+43140009933000","19.08.2020"
23,"Magistratsabteilung 34 - Bau- und Gebäudemanagement","Magistratsabteilung 34 - Bau- und Gebäudemanagement","Landesbehörde","Administration","Muthgasse 62",1190,,"post@ma34.wien.gv.at","+43140008034","+4314000998034","19.08.2020"
24,"Magistratsabteilung 35 - Einwanderung und Staatsbürgerschaft","Magistratsabteilung 35 - Einwanderung und Staatsbürgerschaft","Landesbehörde","Administration","Dresdner Straße 93",1200,,"post@ma35.wien.gv.at",,"+43140009935010","19.08.2020"
25,"Magistratsabteilung 36 - Gewerbetechnik, Feuerpolizei und Veranstaltungen","Magistratsabteilung 36 - Gewerbetechnik, Feuerpolizei und Veranstaltungen","Landesbehörde","Administration","Dresdner Straße 73-75",1200,,"post@ma36.wien.gv.at","+431400036110","+43140009936110","19.08.2020"
26,"Magistratsabteilung 37 - Baupolizei","Magistratsabteilung 37 - Baupolizei","Landesbehörde","Administration","Dresdner Straße 73-75",1200,,"post@ma37.wien.gv.at",,"+43140009937010","19.08.2020"
27,"Magistratsabteilung 39 - Prüf-, Inspektions- und Zertifizierungsstelle","Magistratsabteilung 39 - Prüf-, Inspektions- und Zertifizierungsstelle","Landesbehörde","Administration","Rinnböckstraße 15",1110,,"post@ma39.wien.gv.at","+43140008039","+4314000998039","19.08.2020"
28,"Magistratsabteilung 40 - Soziales, Sozial- und Gesundheitsrecht","Magistratsabteilung 40 - Soziales, Sozial- und Gesundheitsrecht","Landesbehörde","Administration","Thomas-Klestil-Platz 8",1030,,"post@ma40.wien.gv.at","+431400040415","+43140009940419","19.08.2020"
29,"Magistratsabteilung 41 - Stadtvermessung","Magistratsabteilung 41 - Stadtvermessung","Landesbehörde","Administration","Muthgasse 62",1190,,"post@ma41.wien.gv.at","+431400089115","+4314000998041","19.08.2020"
30,"Magistratsabteilung 42 - Wiener Stadtgärten","Magistratsabteilung 42 - Wiener Stadtgärten","Landesbehörde","Administration","Johannesgasse 35",1030,,"post@ma42.wien.gv.at","+43140008042","+43140009942089","19.08.2020"
31,"Magistratsabteilung 44 - Bäder","Magistratsabteilung 44 - Bäder","Landesbehörde","Administration","Reumannplatz 23",1100,,"post@ma44.wien.gv.at","+4316011244115","+431601129944014","19.08.2020"
32,"Magistratsabteilung 45 - Wiener Gewässer","Magistratsabteilung 45 - Wiener Gewässer","Landesbehörde","Administration","Am Brigittenauer Sporn 7",1200,,"post@ma45.wien.gv.at","+431400096520","+431400096548","19.08.2020"
33,"Magistratsabteilung 46 - Verkehrsorganisation und technische Verkehrsangele","Magistratsabteilung 46 - Verkehrsorganisation und technische Verkehrsangele","Landesbehörde","Administration","Niederhofstraße 21-23",1120,,"post@ma46.wien.gv.at","+431400092615","+43140009992637","19.08.2020"
